"ancestors{}","asset_type",eventtype,host,index,linecount,name,punct,"resource.data.address","resource.data.addressType","resource.data.creationTimestamp","resource.data.description","resource.data.id","resource.data.name","resource.data.networkTier","resource.data.region","resource.data.selfLink","resource.data.status","resource.discovery_document_uri","resource.discovery_name","resource.location","resource.parent","resource.version",source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timestamp,"tmp_epochtime","update_time","_bkt","_cd","_eventtype_color","_indextime","_raw","_si","_sourcetype","_time"
"projects/156896278529
organizations/100979872241","compute.googleapis.com/Address",,"54.246.174.122:8088","gcp_events",1,"//compute.googleapis.com/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip-3","{"""":""//..//--//-//--"","""":""../"","""":{"""":"""","""":""://..","35.208.180.132",EXTERNAL,"2022-01-31T08:58:09.915-08:00","",4056119898682010574,"my-ip-3",STANDARD,"https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1","https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip-3",RESERVED,"https://www.googleapis.com/discovery/v1/apis/compute/v1/rest",Address,"us-central1","//cloudresourcemanager.googleapis.com/projects/156896278529",v1,"example-assets-bucket-2021/example-assets1643703905.58503","google:gcp:assets","ip-172-31-43-68.eu-west-1.compute.internal",,,,none,1643703927,"2022-02-01T08:22:15.158937Z","gcp_events~67~FF2D585F-A9D3-4BB3-B752-80C3045D397A","67:41229079",,1643703927,"{""name"":""//compute.googleapis.com/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip-3"",""asset_type"":""compute.googleapis.com/Address"",""resource"":{""version"":""v1"",""discovery_document_uri"":""https://www.googleapis.com/discovery/v1/apis/compute/v1/rest"",""discovery_name"":""Address"",""parent"":""//cloudresourcemanager.googleapis.com/projects/156896278529"",""data"":{""address"":""35.208.180.132"",""addressType"":""EXTERNAL"",""creationTimestamp"":""2022-01-31T08:58:09.915-08:00"",""description"":"""",""id"":""4056119898682010574"",""name"":""my-ip-3"",""networkTier"":""STANDARD"",""region"":""https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1"",""selfLink"":""https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip-3"",""status"":""RESERVED""},""location"":""us-central1""},""ancestors"":[""projects/156896278529"",""organizations/100979872241""],""update_time"":""2022-02-01T08:22:15.158937Z""}","ip-172-31-43-68.eu-west-1.compute.internal
gcp_events","google:gcp:assets",1643703927
"projects/156896278529
organizations/100979872241","compute.googleapis.com/Address",,"54.246.174.122:8088","gcp_events",1,"//compute.googleapis.com/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip-2","{"""":""//..//--//-//--"","""":""../"","""":{"""":"""","""":""://..","34.135.238.47",EXTERNAL,"2022-01-31T08:55:45.355-08:00","",7845901158367734398,"my-ip-2",PREMIUM,"https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1","https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip-2",RESERVED,"https://www.googleapis.com/discovery/v1/apis/compute/v1/rest",Address,"us-central1","//cloudresourcemanager.googleapis.com/projects/156896278529",v1,"example-assets-bucket-2021/example-assets1643703905.58503","google:gcp:assets","ip-172-31-43-68.eu-west-1.compute.internal",,,,none,1643703927,"2022-01-31T16:55:47.110001Z","gcp_events~67~FF2D585F-A9D3-4BB3-B752-80C3045D397A","67:41228938",,1643703927,"{""name"":""//compute.googleapis.com/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip-2"",""asset_type"":""compute.googleapis.com/Address"",""resource"":{""version"":""v1"",""discovery_document_uri"":""https://www.googleapis.com/discovery/v1/apis/compute/v1/rest"",""discovery_name"":""Address"",""parent"":""//cloudresourcemanager.googleapis.com/projects/156896278529"",""data"":{""address"":""34.135.238.47"",""addressType"":""EXTERNAL"",""creationTimestamp"":""2022-01-31T08:55:45.355-08:00"",""description"":"""",""id"":""7845901158367734398"",""name"":""my-ip-2"",""networkTier"":""PREMIUM"",""region"":""https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1"",""selfLink"":""https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip-2"",""status"":""RESERVED""},""location"":""us-central1""},""ancestors"":[""projects/156896278529"",""organizations/100979872241""],""update_time"":""2022-01-31T16:55:47.110001Z""}","ip-172-31-43-68.eu-west-1.compute.internal
gcp_events","google:gcp:assets",1643703927
"projects/156896278529
organizations/100979872241","compute.googleapis.com/Address",,"54.246.174.122:8088","gcp_events",1,"//compute.googleapis.com/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip","{"""":""//..//--//-//-"","""":""../"","""":{"""":"""","""":""://../","104.197.164.58",EXTERNAL,"2022-01-31T05:51:42.681-08:00","",8308563569593177985,"my-ip",PREMIUM,"https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1","https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip",RESERVED,"https://www.googleapis.com/discovery/v1/apis/compute/v1/rest",Address,"us-central1","//cloudresourcemanager.googleapis.com/projects/156896278529",v1,"example-assets-bucket-2021/example-assets1643703905.58503","google:gcp:assets","ip-172-31-43-68.eu-west-1.compute.internal",,,,none,1643703927,"2022-01-31T13:51:44.331549Z","gcp_events~67~FF2D585F-A9D3-4BB3-B752-80C3045D397A","67:41228743",,1643703927,"{""name"":""//compute.googleapis.com/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip"",""asset_type"":""compute.googleapis.com/Address"",""resource"":{""version"":""v1"",""discovery_document_uri"":""https://www.googleapis.com/discovery/v1/apis/compute/v1/rest"",""discovery_name"":""Address"",""parent"":""//cloudresourcemanager.googleapis.com/projects/156896278529"",""data"":{""address"":""104.197.164.58"",""addressType"":""EXTERNAL"",""creationTimestamp"":""2022-01-31T05:51:42.681-08:00"",""description"":"""",""id"":""8308563569593177985"",""name"":""my-ip"",""networkTier"":""PREMIUM"",""region"":""https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1"",""selfLink"":""https://www.googleapis.com/compute/v1/projects/pauld-gcp-project/regions/us-central1/addresses/my-ip"",""status"":""RESERVED""},""location"":""us-central1""},""ancestors"":[""projects/156896278529"",""organizations/100979872241""],""update_time"":""2022-01-31T13:51:44.331549Z""}","ip-172-31-43-68.eu-west-1.compute.internal
gcp_events","google:gcp:assets",1643703927
