"page_printed",user,document,"temp_epochtime"
1,chuck,"anon_Printer_9","1471232247.000"
1,chuck,"anon_Printer_9","1471232659.000"
8,alice,"anon_Printer_9","1471233873.000"
8,alice,"anon_Printer_9","1471233873.000"
6,chuck,"anon_Printer_9","1471248642.000"
2,chuck,"anon_Printer_9","1471250544.000"
2,chuck,"anon_Printer_9","1471250697.000"
1,chuck,"anon_Printer_9","1471319244.000"
1,chuck,"anon_Printer_9","1471319253.000"
1,chuck,"anon_Printer_9","1471495658.000"
1,alice,"anon_Printer_9","1471501956.000"
4,alice,"anon_Printer_9","1471501975.000"
4,alice,"anon_Printer_9","1471501975.000"
2,alice,"anon_Printer_9","1471502394.000"
2,alice,"anon_Printer_9","1471502394.000"
4,chuck,"anon_Printer_9","1471512257.000"
4,chuck,"anon_Printer_9","1471512267.000"
2,alice,"anon_Printer_9","1471512842.000"
2,alice,"anon_Printer_9","1471512842.000"
2,alice,"anon_Printer_9","1471513025.000"
2,alice,"anon_Printer_9","1471513025.000"
1,alice,"anon_Printer_9","1471513104.000"
1,alice,"anon_Printer_9","1471513473.000"
1,alice,"anon_Printer_9","1471585829.000"
15,chuck,"anon_Printer_9","1471587762.000"
5,alice,"anon_Printer_9","1471588595.000"
4,alice,"anon_Printer_9","1471588595.000"
8,alice,"anon_Printer_9","1471589036.000"
8,alice,"anon_Printer_9","1471589036.000"
4,chuck,"anon_Printer_9","1471589721.000"
2,alice,"anon_Printer_9","1471839484.000"
2,alice,"anon_Printer_9","1471839484.000"
16,alice,"anon_Printer_9","1471839571.000"
16,alice,"anon_Printer_9","1471839571.000"
6,alice,"anon_Printer_9","1471839689.000"
7,alice,"anon_Printer_9","1471839689.000"
1,alice,"anon_Printer_9","1471839933.000"
1,chuck,"anon_Printer_9","1471840556.000"
1,alice,"anon_Printer_9","1471841391.000"
2,alice,"anon_Printer_9","1471841421.000"
3,alice,"anon_Printer_9","1471841421.000"
21,chuck,"anon_Printer_9","1471848312.000"
21,chuck,"anon_Printer_9","1471848323.000"
6,chuck,"anon_Printer_9","1471850997.000"
17,alice,"anon_Printer_9","1471854832.000"
16,alice,"anon_Printer_9","1471854832.000"
2,alice,"anon_Printer_9","1471855025.000"
2,alice,"anon_Printer_9","1471855025.000"
2,alice,"anon_Printer_9","1471856600.000"
2,alice,"anon_Printer_9","1471856600.000"
16,alice,"anon_Printer_9","1471936510.000"
16,alice,"anon_Printer_9","1471936510.000"
1,alice,"anon_Printer_9","1471936680.000"
2,alice,"anon_Printer_9","1471936722.000"
2,alice,"anon_Printer_9","1471936722.000"
2,alice,"anon_Printer_9","1471937012.000"
2,alice,"anon_Printer_9","1471937012.000"
2,chuck,"anon_Printer_9","1471937185.000"
1,alice,"anon_Printer_9","1472014061.000"
1,alice,"anon_Printer_9","1472014071.000"
1,alice,"anon_Printer_9","1472014082.000"
1,alice,"anon_Printer_9","1472014096.000"
1,alice,"anon_Printer_9","1472014108.000"
1,alice,"anon_Printer_9","1472014118.000"
4,alice,"anon_Printer_9","1472015494.000"
4,alice,"anon_Printer_9","1472015494.000"
4,alice,"anon_Printer_9","1472015614.000"
4,alice,"anon_Printer_9","1472015614.000"
4,alice,"anon_Printer_9","1472015752.000"
4,alice,"anon_Printer_9","1472015752.000"
1,alice,"anon_Printer_9","1472015802.000"
1,alice,"anon_Printer_9","1472015818.000"
2,alice,"anon_Printer_9","1472015828.000"
3,alice,"anon_Printer_9","1472015828.000"
4,alice,"anon_Printer_9","1472016011.000"
4,alice,"anon_Printer_9","1472016011.000"
4,alice,"anon_Printer_9","1472016115.000"
4,alice,"anon_Printer_9","1472016115.000"
4,alice,"anon_Printer_9","1472016125.000"
4,alice,"anon_Printer_9","1472016125.000"
1,alice,"anon_Printer_9","1472016917.000"
1,alice,"anon_Printer_9","1472017823.000"
5,alice,"anon_Printer_9","1472022886.000"
4,alice,"anon_Printer_9","1472022886.000"
1,alice,"anon_Printer_9","1472022903.000"
5,alice,"anon_Printer_9","1472023312.000"
4,alice,"anon_Printer_9","1472023312.000"
3,alice,"anon_Printer_9","1472025088.000"
2,alice,"anon_Printer_9","1472025088.000"
1,alice,"anon_Printer_9","1472031519.000"
2,alice,"anon_Printer_9","1472033905.000"
2,alice,"anon_Printer_9","1472033905.000"
2,alice,"anon_Printer_9","1472034930.000"
2,alice,"anon_Printer_9","1472034930.000"
1,alice,"anon_Printer_9","1472095105.000"
2,alice,"anon_Printer_9","1472096392.000"
2,alice,"anon_Printer_9","1472096392.000"
4,alice,"anon_Printer_9","1472109423.000"
5,alice,"anon_Printer_9","1472109423.000"
5,alice,"anon_Printer_9","1472113459.000"
4,alice,"anon_Printer_9","1472113459.000"
2,alice,"anon_Printer_9","1472113506.000"
3,alice,"anon_Printer_9","1472113506.000"
2,alice,"anon_Printer_9","1472113516.000"
2,alice,"anon_Printer_9","1472113516.000"
2,alice,"anon_Printer_9","1472113560.000"
2,alice,"anon_Printer_9","1472113560.000"
2,alice,"anon_Printer_9","1472117094.000"
2,alice,"anon_Printer_9","1472117094.000"
2,alice,"anon_Printer_9","1472118229.000"
2,alice,"anon_Printer_9","1472118229.000"
2,alice,"anon_Printer_9","1472118460.000"
2,alice,"anon_Printer_9","1472118460.000"
21,chuck,"anon_Printer_9","1472180379.000"
4,chuck,"anon_Printer_9","1472180389.000"
2,chuck,"anon_Printer_9","1472189522.000"
2,alice,"anon_Printer_9","1472435274.000"
2,alice,"anon_Printer_9","1472435274.000"
7,chuck,"anon_Printer_9","1472448266.000"
1,chuck,"anon_Printer_9","1472454139.000"
26,alice,"anon_Printer_9","1472459226.000"
26,alice,"anon_Printer_9","1472459226.000"
28,alice,"anon_Printer_9","1472459474.000"
29,alice,"anon_Printer_9","1472459474.000"
29,alice,"anon_Printer_9","1472459515.000"
28,alice,"anon_Printer_9","1472459515.000"
6,alice,"anon_Printer_9","1472460643.000"
6,alice,"anon_Printer_9","1472460643.000"
11,alice,"anon_Printer_9","1472460655.000"
10,alice,"anon_Printer_9","1472460655.000"
22,alice,"anon_Printer_9","1472463308.000"
22,alice,"anon_Printer_9","1472463308.000"
2,alice,"anon_Printer_9","1472463317.000"
2,alice,"anon_Printer_9","1472463317.000"
2,alice,"anon_Printer_9","1472463327.000"
2,alice,"anon_Printer_9","1472463327.000"
3,chuck,"anon_Printer_9","1472474932.000"
4,alice,"anon_Printer_9","1472521261.000"
4,alice,"anon_Printer_9","1472521261.000"
16,chuck,"anon_Printer_9","1472548544.000"
10,alice,"anon_Printer_9","1472621884.000"
10,alice,"anon_Printer_9","1472621884.000"
2,alice,"anon_Printer_9","1472621891.000"
2,alice,"anon_Printer_9","1472621891.000"
4,alice,"anon_Printer_9","1472621901.000"
4,alice,"anon_Printer_9","1472621901.000"
12,alice,"anon_Printer_9","1472621924.000"
12,alice,"anon_Printer_9","1472621924.000"
1,chuck,"anon_Printer_9","1472629321.000"
18,chuck,"anon_Printer_9","1472703791.000"
2,chuck,"anon_Printer_9","1472703800.000"
17,chuck,"anon_Printer_9","1472704759.000"
3,chuck,"anon_Printer_9","1472706915.000"
3,chuck,"anon_Printer_9","1472707225.000"
1,chuck,"anon_Printer_9","1472707389.000"
12,alice,"anon_Printer_9","1472709130.000"
12,alice,"anon_Printer_9","1472709130.000"
2,alice,"anon_Printer_9","1472714101.000"
2,alice,"anon_Printer_9","1472714101.000"
1,alice,"anon_Printer_9","1472714140.000"
2,alice,"anon_Printer_9","1472714159.000"
2,alice,"anon_Printer_9","1472714159.000"
2,alice,"anon_Printer_9","1472714386.000"
2,alice,"anon_Printer_9","1472714386.000"
1,alice,"anon_Printer_9","1472714669.000"
1,alice,"anon_Printer_9","1472714679.000"
3,alice,"anon_Printer_9","1472787897.000"
2,alice,"anon_Printer_9","1472787897.000"
6,alice,"anon_Printer_9","1472790495.000"
6,alice,"anon_Printer_9","1472790495.000"
8,alice,"anon_Printer_9","1472790692.000"
8,alice,"anon_Printer_9","1472790692.000"
6,alice,"anon_Printer_9","1472798361.000"
6,alice,"anon_Printer_9","1472798361.000"
7,alice,"anon_Printer_9","1472799473.000"
6,alice,"anon_Printer_9","1472799473.000"
2,alice,"anon_Printer_9","1472799689.000"
2,alice,"anon_Printer_9","1472799689.000"
7,alice,"anon_Printer_9","1472807137.000"
6,alice,"anon_Printer_9","1472807137.000"
1,alice,"anon_Printer_9","1472809147.000"
12,alice,"anon_Printer_9","1472809166.000"
12,alice,"anon_Printer_9","1472809166.000"
50,chuck,"anon_Printer_9","1473131868.000"
13,alice,"anon_Printer_9","1473139551.000"
12,alice,"anon_Printer_9","1473139551.000"
4,alice,"anon_Printer_9","1473139781.000"
4,alice,"anon_Printer_9","1473139781.000"
1,alice,"anon_Printer_9","1473141793.000"
12,alice,"anon_Printer_9","1473143627.000"
13,alice,"anon_Printer_9","1473143627.000"
10,alice,"anon_Printer_9","1473143642.000"
11,alice,"anon_Printer_9","1473143642.000"
8,alice,"anon_Printer_9","1473143788.000"
8,alice,"anon_Printer_9","1473143788.000"
2,alice,"anon_Printer_9","1473144601.000"
2,alice,"anon_Printer_9","1473144601.000"
1,alice,"anon_Printer_9","1473144620.000"
1,alice,"anon_Printer_9","1473144633.000"
1,alice,"anon_Printer_9","1473144838.000"
1,alice,"anon_Printer_9","1473144875.000"
1,alice,"anon_Printer_9","1473144928.000"
1,alice,"anon_Printer_9","1473144970.000"
2,alice,"anon_Printer_9","1473145061.000"
2,alice,"anon_Printer_9","1473145061.000"
1,alice,"anon_Printer_9","1473146760.000"
1,alice,"anon_Printer_9","1473146784.000"
13,alice,"anon_Printer_9","1473146814.000"
12,alice,"anon_Printer_9","1473146814.000"
12,alice,"anon_Printer_9","1473146948.000"
13,alice,"anon_Printer_9","1473146948.000"
2,chuck,"anon_Printer_9","1473148987.000"
3,alice,"anon_Printer_9","1473151828.000"
2,alice,"anon_Printer_9","1473151828.000"
6,alice,"anon_Printer_9","1473151848.000"
7,alice,"anon_Printer_9","1473151848.000"
2,alice,"anon_Printer_9","1473151934.000"
2,alice,"anon_Printer_9","1473151934.000"
5,chuck,"anon_Printer_9","1473222710.000"
2,chuck,"anon_Printer_9","1473223420.000"
18,alice,"anon_Printer_9","1473303599.000"
18,alice,"anon_Printer_9","1473303599.000"
52,alice,"anon_Printer_9","1473304844.000"
