app,__mv_app,changeSet.name,__mv_changeSet.name,changeSet.parent.moid,__mv_changeSet.parent.moid,changeSet.parent.type,__mv_changeSet.parent.type,changeSet.resourcePool.moid,__mv_changeSet.resourcePool.moid,changeSet.resourcePool.type,__mv_changeSet.resourcePool.type,changeSet.runtime.host.moid,__mv_changeSet.runtime.host.moid,changeSet.runtime.host.type,__mv_changeSet.runtime.host.type,collectionVersion,__mv_collectionVersion,eventtype,__mv_eventtype,host,__mv_host,index,__mv_index,linecount,__mv_linecount,moid,__mv_moid,punct,__mv_punct,rootFolder.moid,__mv_rootFolder.moid,source,__mv_source,sourcetype,__mv_sourcetype,splunk_server,__mv_splunk_server,splunk_server_group,__mv_splunk_server_group,tag,__mv_tag,tag::eventtype,__mv_tag::eventtype,timestamp,__mv_timestamp,tmp_epochtime,__mv_tmp_epochtime,type,__mv_type,vendor,__mv_vendor,_bkt,__mv__bkt,_cd,__mv__cd,_eventtype_color,__mv__eventtype_color,_indextime,__mv__indextime,_raw,__mv__raw,_serial,__mv__serial,_si,__mv__si,_sourcetype,__mv__sourcetype,_time,__mv__time
vmware,,,,,,,,,,,,host-10,,HostSystem,,6,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,1,,vm-77,,"{"""":_{"""":_{"""":_{"""":_"""",_"""":_""-""}}},_"""":_""-"",_"""":_""",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466828,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:199635087,,none,,1598466828,,"{""changeSet"": {""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}}, ""moid"": ""vm-77"", ""collectionVersion"": ""6"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,0,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466828,
vmware,,,,,,,,,,,,host-11,,HostSystem,,5,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,1,,vm-77,,"{"""":_"""",_"""":_{"""":_""-""},_"""":_"""",_"""":_{"""":_{"""":_{"""":",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466678,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:197428832,,none,,1598466678,,"{""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}, ""collectionVersion"": ""5"", ""changeSet"": {""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-11""}}}, ""moid"": ""vm-77""}",,1,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466678,
vmware,,,,,,,,,,,,host-10,,HostSystem,,4,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,1,,vm-77,,"{"""":_"""",_"""":_{"""":_""-""},_"""":_"""",_"""":_{"""":_{"""":_{"""":",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466622,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:196618914,,none,,1598466622,,"{""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}, ""collectionVersion"": ""4"", ""changeSet"": {""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}}, ""moid"": ""vm-77""}",,2,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466622,
vmware,,,,,,,,,,,,host-11,,HostSystem,,3,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,1,,vm-77,,"{"""":_{"""":_{"""":_{"""":_"""",_"""":_""-""}}},_"""":_""-"",_"""":_""",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466453,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:194263617,,none,,1598466453,,"{""changeSet"": {""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-11""}}}, ""moid"": ""vm-77"", ""collectionVersion"": ""3"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,3,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466453,
vmware,,,,,,,,,,,,host-10,,HostSystem,,2,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,1,,vm-77,,"{"""":_{"""":_""-""},_"""":_"""",_"""":_{"""":_{"""":_{"""":_"""",_"""":",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466378,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:193503351,,none,,1598466378,,"{""rootFolder"": {""moid"": ""group-d1""}, ""type"": ""VirtualMachine"", ""changeSet"": {""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}}, ""collectionVersion"": ""2"", ""moid"": ""vm-77""}",,4,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466378,
vmware,,apps-vcenter500.sv.splunk.com,,N/A,,N/A,,,,,,,,,,,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,1,,group-d1,,"{"""":_{"""":_{"""":_""/"",_"""":_""/""},_"""":_""-...""},_"""":_"""",",,,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466247,,RootFolder,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:191399437,,none,,1598466247,,"{""changeSet"": {""parent"": {""type"": ""N/A"", ""moid"": ""N/A""}, ""name"": ""apps-vcenter500.sv.splunk.com""}, ""type"": ""RootFolder"", ""moid"": ""group-d1""}",,5,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466247,
vmware,,iSCSI_Store1,,group-s6,,Folder,,,,,,,,,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,datastore-282,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_""""},_"""":_""-"",_"""":",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,Datastore,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563303,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-s6""}, ""name"": ""iSCSI_Store1""}, ""moid"": ""datastore-282"", ""collectionVersion"": ""1"", ""type"": ""Datastore"", ""rootFolder"": {""moid"": ""group-d1""}}",,6,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,FC_Store1,,group-s6,,Folder,,,,,,,,,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,datastore-281,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_""""},_"""":_""-"",_"""":",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,Datastore,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563296,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-s6""}, ""name"": ""FC_Store1""}, ""moid"": ""datastore-281"", ""collectionVersion"": ""1"", ""type"": ""Datastore"", ""rootFolder"": {""moid"": ""group-d1""}}",,7,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer62,,group-v4,,Folder,,resgroup-172,,ResourcePool,,host-26,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-214,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563285,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-172""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-26""}}, ""name"": ""apps-7m-filer62""}, ""moid"": ""vm-214"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,8,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer61,,group-v4,,Folder,,resgroup-172,,ResourcePool,,host-26,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-206,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563274,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-172""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-26""}}, ""name"": ""apps-7m-filer61""}, ""moid"": ""vm-206"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,9,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
