_time,Committed,Available,host,tmp_epochtime,index
,,,EC2AMAZ-3G1B1SF,1625153400,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153430,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153460,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153490,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153520,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153550,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153580,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153610,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153640,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153670,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153700,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153730,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153760,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153790,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153820,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153850,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153880,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153910,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153940,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625153970,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154000,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154030,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154060,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154090,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154120,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154150,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154180,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154210,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154240,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154270,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154300,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154330,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154360,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154390,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154420,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154450,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154480,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154510,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154540,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154570,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154600,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154630,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154660,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154690,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154720,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154750,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154780,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154810,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154840,itsi_im_metrics
