"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,linecount,punct,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timeendpos,timestamp,timestartpos,"tmp_epochtime","_bkt","_cd","_eventtype_color","_indextime","_raw","_serial","_si","_sourcetype","_subsecond","_time"
,,,,,,,,"nix-all-logs","ip-10-202-14-145.ec2.splunkit.io",aws,2,"_:_----t:_._t_:__t_:__t__:__t","us-west-1:/aws/lambda/ErrorFunction:2021/09/28/[$LATEST]83d92290ea99448f9037e0f1586aa289","aws:cloudwatchlogs","ip-172-31-24-115.us-west-1.compute.internal","dmc_group_indexer",,,,none,,"1632852372.62","aws~0~68D3A016-0E1E-4A83-9F3C-20C501C451C2","0:13159058",none,1632855318,"REPORT RequestId: 88a4236e-2f6a-44a6-a2d6-cfc91828ffbf	Duration: 34.13 ms	Billed Duration: 35 ms	Memory Size: 128 MB	Max Memory Used: 64 MB	
",0,"ip-172-31-24-115.us-west-1.compute.internal
aws","aws:cloudwatchlogs",".62","1632852372.62"
,,,,,,,,"nix-all-logs","ip-10-202-14-145.ec2.splunkit.io",aws,2,"_:_----","us-west-1:/aws/lambda/ErrorFunction:2021/09/28/[$LATEST]83d92290ea99448f9037e0f1586aa289","aws:cloudwatchlogs","ip-172-31-24-115.us-west-1.compute.internal","dmc_group_indexer",,,,none,,"1632852372.62","aws~0~68D3A016-0E1E-4A83-9F3C-20C501C451C2","0:13159055",none,1632855318,"END RequestId: 88a4236e-2f6a-44a6-a2d6-cfc91828ffbf
",1,"ip-172-31-24-115.us-west-1.compute.internal
aws","aws:cloudwatchlogs",".62","1632852372.62"
18,28,6,september,12,tuesday,2021,0,"err0r nix-all-logs nix_errors","ip-10-202-14-145.ec2.splunkit.io",aws,2,"--::.t----tt__t{"""":"""","""":""____!"","""":"""","""":""____!"",","us-west-1:/aws/lambda/ErrorFunction:2021/09/28/[$LATEST]83d92290ea99448f9037e0f1586aa289","aws:cloudwatchlogs","ip-172-31-24-115.us-west-1.compute.internal","dmc_group_indexer",error,error,24,,0,"1632852372.599","aws~0~68D3A016-0E1E-4A83-9F3C-20C501C451C2","0:13159042",none,1632855318,"2021-09-28T18:06:12.599Z	88a4236e-2f6a-44a6-a2d6-cfc91828ffbf	ERROR	Invoke Error 	{""errorType"":""CustomError"",""errorMessage"":""This is a custom error!"",""name"":""CustomError"",""message"":""This is a custom error!"",""stack"":[""Error"",""    at Runtime.exports.handler (/var/task/index.js:6:29)"",""    at Runtime.handleOnce (/var/runtime/Runtime.js:66:25)""]}
",2,"ip-172-31-24-115.us-west-1.compute.internal
aws","aws:cloudwatchlogs",".599","1632852372.599"
,,,,,,,,"nix-all-logs","ip-10-202-14-145.ec2.splunkit.io",aws,2,"_:_----_:_$","us-west-1:/aws/lambda/ErrorFunction:2021/09/28/[$LATEST]83d92290ea99448f9037e0f1586aa289","aws:cloudwatchlogs","ip-172-31-24-115.us-west-1.compute.internal","dmc_group_indexer",,,,none,,"1632852372.584","aws~0~68D3A016-0E1E-4A83-9F3C-20C501C451C2","0:13159039",none,1632855318,"START RequestId: 88a4236e-2f6a-44a6-a2d6-cfc91828ffbf Version: $LATEST
",3,"ip-172-31-24-115.us-west-1.compute.internal
aws","aws:cloudwatchlogs",".584","1632852372.584"
,,,,,,,,"nix-all-logs","ip-10-202-14-145.ec2.splunkit.io",aws,2,"_:_----t:_._t_:__t_:__t__:__t","us-west-1:/aws/lambda/ErrorFunction:2021/09/28/[$LATEST]83d92290ea99448f9037e0f1586aa289","aws:cloudwatchlogs","ip-172-31-24-115.us-west-1.compute.internal","dmc_group_indexer",,,,none,,"1632852359.9","aws~0~68D3A016-0E1E-4A83-9F3C-20C501C451C2","0:13159033",none,1632855318,"REPORT RequestId: 4d99a413-04dd-4073-98e6-80353e838db3	Duration: 77.12 ms	Billed Duration: 78 ms	Memory Size: 128 MB	Max Memory Used: 64 MB	
",4,"ip-172-31-24-115.us-west-1.compute.internal
aws","aws:cloudwatchlogs",".9","1632852359.9"
,,,,,,,,"nix-all-logs","ip-10-202-14-145.ec2.splunkit.io",aws,2,"_:_----","us-west-1:/aws/lambda/ErrorFunction:2021/09/28/[$LATEST]83d92290ea99448f9037e0f1586aa289","aws:cloudwatchlogs","ip-172-31-24-115.us-west-1.compute.internal","dmc_group_indexer",,,,none,,"1632852359.9","aws~0~68D3A016-0E1E-4A83-9F3C-20C501C451C2","0:13159030",none,1632855318,"END RequestId: 4d99a413-04dd-4073-98e6-80353e838db3
",5,"ip-172-31-24-115.us-west-1.compute.internal
aws","aws:cloudwatchlogs",".9","1632852359.9"
18,28,5,september,59,tuesday,2021,0,"err0r nix-all-logs nix_errors","ip-10-202-14-145.ec2.splunkit.io",aws,2,"--::.t----tt__t{"""":"""","""":""____!"","""":"""","""":""____!"",","us-west-1:/aws/lambda/ErrorFunction:2021/09/28/[$LATEST]83d92290ea99448f9037e0f1586aa289","aws:cloudwatchlogs","ip-172-31-24-115.us-west-1.compute.internal","dmc_group_indexer",error,error,24,,0,"1632852359.859","aws~0~68D3A016-0E1E-4A83-9F3C-20C501C451C2","0:13159017",none,1632855318,"2021-09-28T18:05:59.859Z	4d99a413-04dd-4073-98e6-80353e838db3	ERROR	Invoke Error 	{""errorType"":""CustomError"",""errorMessage"":""This is a custom error!"",""name"":""CustomError"",""message"":""This is a custom error!"",""stack"":[""Error"",""    at Runtime.exports.handler (/var/task/index.js:6:29)"",""    at Runtime.handleOnce (/var/runtime/Runtime.js:66:25)""]}
",6,"ip-172-31-24-115.us-west-1.compute.internal
aws","aws:cloudwatchlogs",".859","1632852359.859"
,,,,,,,,"nix-all-logs","ip-10-202-14-145.ec2.splunkit.io",aws,2,"_:_----_:_$","us-west-1:/aws/lambda/ErrorFunction:2021/09/28/[$LATEST]83d92290ea99448f9037e0f1586aa289","aws:cloudwatchlogs","ip-172-31-24-115.us-west-1.compute.internal","dmc_group_indexer",,,,none,,"1632852359.82","aws~0~68D3A016-0E1E-4A83-9F3C-20C501C451C2","0:13159013",none,1632855318,"START RequestId: 4d99a413-04dd-4073-98e6-80353e838db3 Version: $LATEST
",7,"ip-172-31-24-115.us-west-1.compute.internal
aws","aws:cloudwatchlogs",".82","1632852359.82"
,,,,,,,,"nix-all-logs","ip-10-202-14-145.ec2.splunkit.io",aws,2,"_:_----t:_._t_:__t_:__t__:__t_:_._t","us-west-1:/aws/lambda/ErrorFunction:2021/09/28/[$LATEST]83d92290ea99448f9037e0f1586aa289","aws:cloudwatchlogs","ip-172-31-24-115.us-west-1.compute.internal","dmc_group_indexer",,,,none,,"1632852341.888","aws~0~68D3A016-0E1E-4A83-9F3C-20C501C451C2","0:13159006",none,1632855318,"REPORT RequestId: 1a4b3cf9-574f-4a0a-95c9-f91288abfa18	Duration: 37.33 ms	Billed Duration: 38 ms	Memory Size: 128 MB	Max Memory Used: 64 MB	Init Duration: 232.94 ms	
",8,"ip-172-31-24-115.us-west-1.compute.internal
aws","aws:cloudwatchlogs",".888","1632852341.888"
,,,,,,,,"nix-all-logs","ip-10-202-14-145.ec2.splunkit.io",aws,2,"_:_----","us-west-1:/aws/lambda/ErrorFunction:2021/09/28/[$LATEST]83d92290ea99448f9037e0f1586aa289","aws:cloudwatchlogs","ip-172-31-24-115.us-west-1.compute.internal","dmc_group_indexer",,,,none,,"1632852341.888","aws~0~68D3A016-0E1E-4A83-9F3C-20C501C451C2","0:13159003",none,1632855318,"END RequestId: 1a4b3cf9-574f-4a0a-95c9-f91288abfa18
",9,"ip-172-31-24-115.us-west-1.compute.internal
aws","aws:cloudwatchlogs",".888","1632852341.888"
18,28,5,september,41,tuesday,2021,0,"err0r nix-all-logs nix_errors","ip-10-202-14-145.ec2.splunkit.io",aws,2,"--::.t----tt__t{"""":"""","""":""____!"","""":"""","""":""____!"",","us-west-1:/aws/lambda/ErrorFunction:2021/09/28/[$LATEST]83d92290ea99448f9037e0f1586aa289","aws:cloudwatchlogs","ip-172-31-24-115.us-west-1.compute.internal","dmc_group_indexer",error,error,24,,0,"1632852341.858","aws~0~68D3A016-0E1E-4A83-9F3C-20C501C451C2","0:13158990",none,1632855318,"2021-09-28T18:05:41.858Z	1a4b3cf9-574f-4a0a-95c9-f91288abfa18	ERROR	Invoke Error 	{""errorType"":""CustomError"",""errorMessage"":""This is a custom error!"",""name"":""CustomError"",""message"":""This is a custom error!"",""stack"":[""Error"",""    at Runtime.exports.handler (/var/task/index.js:6:29)"",""    at Runtime.handleOnce (/var/runtime/Runtime.js:66:25)""]}
",10,"ip-172-31-24-115.us-west-1.compute.internal
aws","aws:cloudwatchlogs",".858","1632852341.858"
