syslogID,module,submodule,type,severity,important,index
47040601,AAA,SM_AAA_AAA,Event,Info,0,1
47040602,AAA,SM_AAA_AAA,Event,Info,0,2
47040603,AAA,SM_AAA_AAA,Event,Info,0,3
47040604,AAA,SM_AAA_AAA,Event,Info,0,4
47040605,AAA,SM_AAA_AAA,Event,Info,0,5
47040606,AAA,SM_AAA_AAA,Event,Info,0,6
47040607,AAA,SM_AAA_AAA,Event,Info,0,7
47040608,AAA,SM_AAA_AAA,Event,Info,0,8
47040609,AAA,SM_AAA_AAA,Event,Info,0,9
4704060a,AAA,SM_AAA_AAA,Event,Info,0,10
4704060b,AAA,SM_AAA_AAA,Event,Info,0,11
4704060c,AAA,SM_AAA_AAA,Event,Info,0,12
4704060d,AAA,SM_AAA_AAA,Event,Info,0,13
4704060e,AAA,SM_AAA_AAA,Event,Info,0,14
4704060f,AAA,SM_AAA_AAA,Event,Info,0,15
47040610,AAA,SM_AAA_AAA,Event,Info,0,16
47040611,AAA,SM_AAA_AAA,Event,Info,0,17
47040612,AAA,SM_AAA_AAA,Event,Info,0,18
47040613,AAA,SM_AAA_AAA,Event,Info,0,19
47040614,AAA,SM_AAA_AAA,Event,Info,0,20
47040615,AAA,SM_AAA_AAA,Event,Info,0,21
47040616,AAA,SM_AAA_AAA,Event,Info,0,22
47040617,AAA,SM_AAA_AAA,Event,Info,0,23
47040618,AAA,SM_AAA_AAA,Event,Info,0,24
47040419,AAA,SM_AAA_AAA,Event,Warning,0,25
4704061a,AAA,SM_AAA_AAA,Event,Info,0,26
4704061b,AAA,SM_AAA_AAA,Event,Info,0,27
4704061c,AAA,SM_AAA_AAA,Event,Info,0,28
42040401,MGMT,SM_MGMT_ADMIN,Event,Warning,0,1
46345201,FLOW,SM_FW_AD_ARPSPOOFING,Security,Critical,0,1
46345202,FLOW,SM_FW_AD_ARPSPOOFING,Security,Critical,0,2
46345203,FLOW,SM_FW_AD_ARPSPOOFING,Security,Critical,0,3
46345204,FLOW,SM_FW_AD_ARPSPOOFING,Security,Critical,0,4
46345205,FLOW,SM_FW_AD_ARPSPOOFING,Security,Critical,0,5
46345206,FLOW,SM_FW_AD_ARPSPOOFING,Security,Critical,0,6
46345207,FLOW,SM_FW_AD_ARPSPOOFING,Security,Critical,0,7
46505201,FLOW,SM_FW_AD_NDSPOOFING,Security,Critical,0,1
46505202,FLOW,SM_FW_AD_NDSPOOFING,Security,Critical,0,2
46505203,FLOW,SM_FW_AD_NDSPOOFING,Security,Critical,0,3
46505204,FLOW,SM_FW_AD_NDSPOOFING,Security,Critical,0,4
46505205,FLOW,SM_FW_AD_NDSPOOFING,Security,Critical,0,5
46505206,FLOW,SM_FW_AD_NDSPOOFING,Security,Critical,0,6
46505207,FLOW,SM_FW_AD_NDSPOOFING,Security,Critical,0,7
460c5401,FLOW,SM_FW_AD,Security,Warning,0,1
460c5402,FLOW,SM_FW_AD,Security,Warning,0,2
