descrizione,id
Inibizione delle funzioni di risposta (Inhibit Response Function). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche utili a inibire l'intervento delle funzioni di sicurezza di protezione e di quality assurance dei sistemi di controllo industriale predisposte per rispondere a un disservizio o a uno stato anomalo.,B1
Compromissione dei processi di controllo (Impair Process Control). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche utili a manipolare disabilitare o danneggiare i processi di controllo fisico di sistemi di controllo industriale.,B2
Disservizio intenzionale (Impact). Il soggetto ha evidenza dell'impiego non autorizzato di tecniche utili a manipolare degradare interrompere o distruggere i sistemi i servizi o i dati. In tale ambito rientrano ad esempio gli eventi di tipo Denial of ServiceDistributed Denial of Service che hanno impatto sui beni ICT.,B3
Violazione del livello di servizio atteso definito dal soggetto incluso nel perimetro ai sensi di quanto previsto nelle misure di sicurezza di cui all'allegato B specie in termini di disponibilita del bene ICT.,B4
Divulgazione di dati corrotti o esecuzione operazioni corrotte tramite il bene ICT.,B5
Divulgazione non autorizzata di dati digitali relativi ai beni ICT.,B6
