data.type,event_name,event_description,dataset_name,action,change_type,type,status
admin_update_launch,Auth0 Update Launched,,alert,,,event,
api_limit,Rate Limit on the Authentication or Management APIs,The maximum number of requests to the Authentication or Management APIs in given time has reached.,alert,,,alert,
cls,Code/Link Sent,Passwordless login code/link has been sent,alert,,,event,
cs,Code Sent,Passwordless login code has been sent,alert,,,event,
depnote,Deprecation Notice,,alert,,,event,
du,Deleted User,User has been deleted,change,deleted,AAA,,success
f,Failed Login,,authentication,failure,,,
fapi,Operation on API failed,,alert,,,event,
fc,Failed by Connector,,alert,,,event,
fce,Failed Change Email,Failed to change user email,change,modified,AAA,,failure
fco,Failed by CORS,Origin is not in the Allowed Origins list for the specified application,alert,,,alert,
fcoa,Failed cross-origin authentication,,alert,,,alert,
fcp,Failed Change Password,,change,modified,AAA,,failure
fcph,Failed Post Change Password Hook,,alert,,,alert,
fcpn,Failed Change Phone Number,,change,modified,AAA,,failure
fcpr,Failed Change Password Request,,change,modified,AAA,,failure
fcpro,Failed Connector Provisioning,Failed to provision a AD/LDAP connector,alert,,,event,
fcu,Failed Change Username,Failed to change username,change,modified,AAA,,failure
fd,Failed Delegation,Failed to generate delegation token,alert,,,alert,
fdeac,Failed Device Activation,Failed to activate device.,alert,,,event,
fdeaz,Failed Device Authorization Request,Device authorization request failed.,alert,,,alert,
fdecc,User Canceled Device Confirmation,User did not confirm device.,change,cleared,AAA,,failure
fdu,Failed User Deletion,,change,deleted,AAA,,failure
feacft,Failed Exchange,Failed to exchange authorization code for Access Token,alert,,,alert,
feccft,Failed Exchange,Failed exchange of Access Token for a Client Credentials Grant,alert,,,alert,
fede,Failed Exchange,Failed to exchange Device Code for Access Token,alert,,,alert,
fens,Failed Exchange,Failed exchange for Native Social Login,alert,,,alert,
feoobft,Failed Exchange,Failed exchange of Password and OOB Challenge for Access Token,alert,,,alert,
feotpft,Failed Exchange,Failed exchange of Password and OTP Challenge for Access Token,alert,,,alert,
fepft,Failed Exchange,Failed exchange of Password for Access Token,alert,,,alert,
fepotpft,Failed Exchange,Failed exchange of Passwordless OTP for Access Token,alert,,,alert,
fercft,Failed Exchange,Failed Exchange of Password and MFA Recovery code for Access Token,alert,,,alert,
fertft,Failed Exchange,Failed Exchange of Refresh Token for Access Token. This could occur if the refresh token is revoked or expired.,alert,,,alert,
ferrt,Failed Exchange,Failed Exchange of Rotating Refresh Token. This could occur when reuse is detected.,alert,,,alert,
fi,Failed invite accept,"Failed to accept a user invitation. This could happen if the user accepts an invitation using a different email address than provided in the invitation, or due to a system failure while provisioning the invitation.",alert,,,alert,
flo,Failed Logout,User logout failed,alert,,,event,
fn,Failed Sending Notification,Failed to send email notification,alert,,,alert,
fp,Incorrect Password,,authentication,failure,,,
fs,Failed Signup,,authentication,failure,,,
fsa,Failed Silent Auth,,authentication,failure,,,
fu,Invalid Email/Username,,authentication,failure,,,
fui,Failed users import,Failed to import users,alert,,,event,
fv,Failed Verification Email,Failed to send verification email,alert,,,alert,
fvr,Failed Verification Email Request,Failed to process verification email request,alert,,,alert,
gd_auth_failed,MFA Auth failed,"Multi-factor authentication failed. This could happen due to a wrong code entered for SMS/Voice/Email/TOTP factors, or a system failure.",authentication,failure,,,
gd_auth_rejected,MFA Auth rejected,A user rejected a Multi-factor authentication request via push-notification.,authentication,failure,,,
gd_auth_succeed,MFA Auth success,Multi-factor authentication success.,authentication,success,,,
gd_enrollment_complete,MFA enrollment complete,A first time MFA user has successfully enrolled using one of the factors.,authentication,success,,,
gd_otp_rate_limit_exceed,Too many failures,"A user, during enrollment or authentication, enters an incorrect code more than the maximum allowed number of times. Ex: A user enrolling in SMS enters the 6-digit code wrong more than 10 times in a row.",authentication,failure,,,
gd_recovery_failed,Recovery failed,A user enters a wrong recovery code when attempting to authenticate.,authentication,failure,,,
gd_recovery_rate_limit_exceed,Too many failures,A user enters a wrong recovery code too many times.,authentication,failure,,,
gd_recovery_succeed,Recovery success,A user successfully authenticates with a recovery code.,authentication,success,,,
gd_send_email,Email Sent,Email for MFA successfully sent.,success_event,,,,
gd_send_pn,Push notification sent,Push notification for MFA sent successfully sent.,success_event,,,,
gd_send_pn_failure,Push notification sent,Push notification for MFA failed.,success_event,,,,
gd_send_sms,SMS sent,SMS for MFA successfully sent.,success_event,,,,
gd_send_sms_failure,SMS sent failures,Attempt to send SMS for MFA failed.,alert,,,event,
gd_send_voice,Voice call made,Voice call for MFA successfully made.,success_event,,,,
gd_send_voice_failure,Voice call failure,Attempt to make Voice call for MFA failed.,alert,,,event,
gd_start_auth,Second factor started,Second factor authentication event started for MFA.,authentication,pending,,,
gd_start_enroll,Enroll started,Multi-factor authentication enroll has started.,change,started,AAA,success,
gd_start_enroll_failed,Enrollment failed,Push to start enrollement failed.,change,stopped,AAA,failure,
gd_tenant_update,Guardian tenant update,,alert,,,event,
gd_unenroll,Unenroll device account,Device used for second factor authentication has been unenrolled.,change,updated,device,,success
gd_update_device_account,Update device account,Device used for second factor authentication has been updated.,change,updated,device,,success
gd_webauthn_challenge_failed,Enrollment challenge issued,User failed to verify Webauthn factor.,alert,,,alert,
gd_webauthn_enrollment_failed,Enroll failed,WebAuthn factor enrollment failed.,alert,,,alert,
limit_delegation,Too Many Calls to /delegation,Rate limit exceeded to /delegation endpoint,alert,,,alarm,
limit_mu,Blocked IP Address,"An IP address is blocked because it attempted too many failed logins without a successful login. Or an IP address is blocked because it attempted too many sign-ups, whether successful or failed. For more information, seeÂ Attack Protection.",ids,blocked,,,
limit_wc,Blocked Account,An IP address is blocked because it reached the maximum failed login attempts into a single account.,ids,blocked,,,
limit_sul,Blocked Account,"A user is temporarily prevented from logging in because they reached the maximum logins per time period from the same IP address. For more information, see�Attack Protection.",ids,blocked,,,
mfar,MFA Required,"A user has been prompted for multi-factor authentication (MFA). When using Adaptive MFA, Auth0 includes details about the risk assessment.",alert,,,alarm,
mgmt_api_read,Management API read Operation,API GET operation returning secrets completed successfully,success_event,,,,
pla,Pre-login assessment,This log is generated before a login and helps in monitoring the behavior of bot detection without having to enable it.,ids,allowed,,,
pwd_leak,Breached password,Someone behind the IP address ip attempted to login with a leaked password.,ids,allowed,,,
resource_cleanup,Refresh token excess warning,Emitted when resources exceeding defined limits were removed.,change,modified,token,,success
s,Success Login,Successful login event.,authentication,success,,,
sapi,Success API Operation,Successful management API write event.,change,,,,success
sce,Success Change Email,,change,updated,AAA,,success
scoa,Success cross-origin authentication,,success_event,,,,
scp,Success Change Password,,change,updated,AAA,,success
scph,Success Post Change Password Hook,,change,updated,AAA,,success
scpn,Success Change Phone Number,,change,updated,AAA,,success
scpr,Success Change Password Request,,alert,,,alert,
scu,Success Change Username,,change,updated,AAA,,success
sd,Success Delegation,,change,modified,AAA,,success
sdu,Success User Deletion,User successfully deleted,change,deleted,AAA,,success
seacft,Success Exchange,Successful exchange of authorization code for Access Token,success_event,,,,
seccft,Success Exchange,Successful exchange of Access Token for a Client Credentials Grant,success_event,,,,
sede,Success Exchange,Successful exchange of device code for Access Token,success_event,,,,
sens,Success Exchange,Native Social Login,success_event,,,,
seoobft,Success Exchange,Successful exchange of Password and OOB Challenge for Access Token,success_event,,,,
seotpft,Success Exchange,Successful exchange of Password and OTP Challenge for Access Token,success_event,,,,
sepft,Success Exchange,Successful exchange of Password for Access Token,success_event,,,,
sercft,Success Exchange,Successful exchange of Password and MFA Recovery code for Access Token,success_event,,,,
sertft,Success Exchange,Successful exchange of Refresh Token for Access Token,success_event,,,,
si,Successful invite accept,Successfully accepted a user invitation,success_event,,,,
signup_pwd_leak,Breached password,Someone behind the IP address ip attempted to signup with a leaked password.,ids,allowed,,,
srrt,Success Revocation,Successfully revoked a Refresh Token,success_event,,,,
slo,Success Logout,User successfully logged out,,,,,
ss,Success Signup,,change,created,AAA,,success
ssa,Success Silent Auth,,authentication,success,,,
sui,Success users import,Successfully imported users,change,modified,AAA,,success
sv,Success Verification Email,Successfully consumed email verification link,success_event,,,,
svr,Success Verification Email Request,Successfully called verification email endpoint. Verification email in queue to send.,success_event,,,,
sys_os_update_end,Auth0 OS Update Ended,,change,updated,filesystem,,success
sys_os_update_start,Auth0 OS Update Started,,change,updated,filesystem,,success
sys_update_end,Auth0 Update Ended,,change,updated,filesystem,,success
sys_update_start,Auth0 Update Started,,change,updated,filesystem,,success
ublkdu,User login block released,User block setup by anomaly detection has been released,alert,,,event,
w,Warnings During Login,Filters for logs of type warning during login,alert,allowed,,warning,
