Display,change_type,object,dataset_name,type
Company information*,administration,company details,,
default settings*,administration,settings,,
company messages*,administration,company messages,,
Multiple currencies*,administration,settings,,
Users*,administration,account,,
Portal users*,administration,settings,,
portal users*,administration,settings,,
Roles*,configuration,role,,
roles*,configuration,role,,
Permission sets *,configuration,settings,,
permission sets *,configuration,settings,,
profiles*,configuration,profile,,
Email addresses*,AAA,account,,
Deleting email attachments*,filesystem,file,,
Email footers*,configuration,email,,
Email deliverability settings*,administration,settings,,
Divisions*,configuration,user,,
Certificates*,filesystem,certificate,,
*domain setting*,administration,domain,,
*domain change*,administration,domain,,
*enabling Salesforce*,administration,service,,
*disabling Salesforce*,administration,service,,
DKIM*,administration,service,,
email relay*,administration,email relay,,
Permission for a standard or custom profile changed*,profile,profile,,
General or admin permission changed*,AAA,account,,
FLS changed on the profile*,profile,fls,,
Entity permission for a standard or custom profile changed*,profile,profile,,
Profile Page Layout changed*,profile,page,,
Tab set on a standard or custom profile changed*,profile,profile,,
User tab set override changed*,configuration,settings,,
User tab set customization override changed for standard or custom profiles*,configuration,settings,,
Tab set visibility changed for a standard or custom profile*,configuration,settings,,
Tab set visibility modified*,configuration,settings,,
Default tab set modified*,configuration,settings,,
Custom App default changed on standard or custom profiles*,configuration,app,,
Profile*,profile,profile,,
Standard or custom profile cloned*,profile,profile,,
Console setting or layout changed*,configuration,settings,,
*data enabled for this profile*,profile,profile,,
Login hours for the profile modified*,profile,profile,,
Client settings for the profile modified*,profile,settings,,
Record type added to or removed from the profile*,profile,record,,
Default record type modified*,profile,record,,
Default person account record type modified*,profile,account,,
Default business account record type modified*,profile,account,,
Single sign on enabled or disabled for this profile*,configuration,settings,,
Permission set *,AAA,settings,,
Developer name*,AAA,account,,
*label*,AAA,account,,
*description of a permission set changed*,AAA,settings,,
Session activation changed by admin*,session,session,,
Permission in a permission set enabled or disabled by admin*,AAA,settings,,
FLS for an object in a permission set changed by admin*,AAA,fls,,
Permission set from a user assigned or unassigned by admin*,AAA,settings,,
Tab settings in a permission set changed by admin*,configuration,settings,,
Permission set group recalculated*,group,settings,,
User interface*,customization,ui,,
Page layout*,customization,file,,
*action layout*,customization,file,,
*search layouts*,customization,file,,
Compact layouts*,customization,file,,
Salesforce app navigation menu*,customization,file,,
Inline edits*,customization,file,,
Custom fields*,customization,file,,
*field-level security*,customization,file,,
*formulas*,customization,file,,
*picklist values*,customization,file,,
*field attributes*,customization,file,,
*field format*,customization,file,,
*field manageability*,customization,file,,
*masking of encrypted fields*,customization,file,,
Lead settings*,customization,settings,,
*lead assignment rules*,customization,file,,
*lead queues*,customization,file,,
Activity settings,customization,settings,,
Support settings*,customization,settings,,
*escalation rules*,customization,rule,,
*case queues*,customization,file,,
Requests to Salesforce Customer Support*,customization,settings,,
Tab names*,customization,settings,,
*reset to the original tab name*,customization,settings,,
Custom apps*,customization,app,,
*custom objects*,customization,file,,
*custom tabs*,customization,file,,
Contract settings*,customization,settings,,
Forecast settings*,customization,settings,,
Email-to-Case*,customization,settings,,
*On-Demand Email-to-Case*,customization,settings,,
Custom buttons*,customization,file,,
*links*,customization,file,,
*s-controls*,customization,file,,
*standard button overrides*,customization,file,,
Drag-and-drop scheduling*,customization,file,,
Similar opportunities*,customization,file,,
Quotes*,customization,file,,
Data category groups*,customization,file,,
*data categories*,customization,file,,
*category-group assignments to objects*,customization,file,,
Article types*,customization,file,,
Category groups and categories*,customization,file,,
Salesforce Knowledge settings*,customization,settings,,
Ideas settings*,customization,settings,,
Answers settings*,customization,settings,,
Field tracking in feeds*,customization,settings,,
Campaign influence settings*,customization,settings,,
Critical updates*,customization,file,alert,alert
Chatter email notifications*,customization,settings,,
Chatter new user*,customization,settings,,
Validation rules,customization,rule,,
Public groups*,sharing,group,,
*sharing rules*,sharing,rule,,
*org-wide sharing*,sharing,settings,,
*Grant Access Using Hierarchies option*,access,settings,,
Password policies*,access,settings,alert,alert
Password resets*,access,settings,,
Session settings*,access,settings,,
*like session timeout*,access,settings,,
Delegated administration groups and the items delegated admins can manage*,access,settings,,
Lightning Login*,access,settings,,
How many records a user permanently deleted from their Recycle Bin and from the Org Recycle Bin*,configuration,settings,,
SAML*,configuration,settings,,
Salesforce certificates*,configuration,settings,,
