category,type,filter
connection,errorinfo,SSLHandshakeError
connection,errorinfo,SSLError
connection,errorinfo,SSLEOFError
connection,errorinfo,timeout
connection,errorinfo,error
connection,errorinfo,SplunkNotInstalled
connection,errorinfo,NoValidConnectionsError
connection,errorinfo,AuthenticationError
connection,errorinfo,IncompleteRead
connection,errorinfo,BadStatusLine
connection,errorinfo,SplunkUINotAvailableException
connection,errorinfo,IOError
connection,errorinfo,DownloadTimedOut
connection,errorinfo,CollectTimeoutException
connection,errorinfo,S3ResponseError
connection,errorinfo,BuildNotFound
connection,errorinfo,HostTimeout
connection,errorinfo,ResponseNotReady
connection,errorinfo,OSError
connection,errorinfo,EndpointConnectionError
connection,errorinfo,CollectTimeoutException
connection,errorinfo,Md5CheckFailed
connection,errorinfo_message,Exception something is wrong with pramiko connection creation
connectoin,errorinfo_message, Failed to install/upgrade from
connection,errorinfo_message, HTTPError: HTTP Error 5
connection,errorinfo_message, No JSON object could be decoded
connection,errorinfo_message, Tried to run command without establishing a connection
connection,errorinfo_message, Timeout >
start,errorinfo,CouldNotRestart
start,errorinfo,CouldNotStart
