cause,description
1,A SIP BYE message.
17,"Input from user is erroneous; for example, SIP signaling failed to establish the session. Used in combination with the Cisco Systems Disconnect Cause."
3,Service cannot be sustained for reasons such as a lost connection.
4,Idle timer expired.
5,Maximum session length timer expired.
6,SBC hard reset occurred: A hard reset occurs when you use the front panel’s orange Reset button; it reboots the SBC.
7,SBC gracefully rebooted.
10,RADIUS server is disabled; session terminated for non-error reason.
