"code","name","description","on_hook_party"
0,UNKNOWN_DISCONNECT_INITIATOR,unknown,
1,CALLING_PARTY_DISCONNECT,calling_party,caller
2,CALLED_PARTY_DISCONNECT,called_party,recipient
3,INTERNAL_DISCONNECT,internal,
