protocol,transport,ID
hopopt,ipv6,0
icmp,icmp,1
igmp,other,2
ggp,other,3
ip,other,4
st,other,5
ip,tcp,6
cbt,other,7
egp,other,8
igp,other,9
"bbn-rcc-mon,bbn rcc monitoring",other,10
nvp-ii,other,11
pup,other,12
argus,other,13
emcon,other,14
xnet,other,15
chaos,other,16
ip,udp,17
mux,other,18
dcn-meas,other,19
hmp,other,20
prm,other,21
xns-idp,other,22
trunk-1,other,23
trunk-2,other,24
leaf-1,other,25
leaf-2,other,26
rdp,tcp,27
irtp,other,28
iso-tp4,other,29
netblt,other,30
mfe-nsp,other,31
merit-inp,other,32
dccp,other,33
3pc,other,34
idpr,other,35
xtp,other,36
ddp,other,37
idpr-cmtp,other,38
tp++,other,39
il,other,40
ipv6,other,41
sdrp,other,42
ipv6-route,other,43
ipv6-frag,other,44
idrp,other,45
rsvp,other,46
gre,other,47
dsr,other,48
bna,other,49
esp,other,50
ah,other,51
i-nlsp,other,52
swipe,other,53
narp,other,54
mobile,other,55
tlsp,other,56
skip,other,57
ipv6-icmp,other,58
ipv6-nonxt,other,59
ipv6-opts,other,60
cftp,cftp,62
sat-expak,other,64
kryptolan,tcp,65
rvd,other,66
ippc,other,67
sat-mon,other,69
visa,other,70
ipcu,other,71
cpnx,other,72
cphb,other,73
wsn,other,74
pvp,other,75
br-sat-mon,other,76
sun-nd,other,77
wb-mon,other,78
wb-expak,other,79
iso-ip,udp,80
vmtp,other,81
secure-vmtp,other,82
vines,other,83
ttp,other,84
"nsfnet-igp,nsfnet-igp",other,85
dgp,other,86
tcf,other,87
eigrp,other,88
ospf,other,89
sprite-rpc,other,90
larp,other,91
mtp,other,92
ax.25,other,93
os,other,94
micp,other,95
scc-sp,other,96
etherip,other,97
encap,other,98
gmtp,other,100
ifmp,other,101
pnni,other,102
pim,other,103
aris,other,104
scps,other,105
qnx,other,106
a/n,other,107
ipcomp,other,108
snp,tcp,109
compaq-peer,other,110
ipx-in-ip,other,111
vrrp,other,112
pgm,other,113
l2tp,udp,115
ddx,other,116
iatp,other,117
stp,other,118
srp,other,119
uti,other,120
smp,other,121
sm,other,122
ptp,udp,123
isis over ipv4,other,124
fire,other,125
crtp,other,126
crudp,other,127
sscopmce,other,128
iplt,other,129
sps,other,130
pipe,other,131
sctp,udp,132
fc,other,133
rsvp-e2e-ignore,other,134
mobility header,other,135
udplite,udplite,136
mpls-in-ip,other,137
manet,other,138
hip,other,139
shim6,other,140
wesp,other,141
rohc,other,142
ethernet,other,143
unassigned,other,144
unassigned,other,145
unassigned,other,146
unassigned,other,147
unassigned,other,148
unassigned,other,149
unassigned,other,150
unassigned,other,151
unassigned,other,152
unassigned,other,153
unassigned,other,154
unassigned,other,155
unassigned,other,156
unassigned,other,157
unassigned,other,158
unassigned,other,159
unassigned,other,160
unassigned,other,161
unassigned,other,162
unassigned,other,163
unassigned,other,164
unassigned,other,165
unassigned,other,166
unassigned,other,167
unassigned,other,168
unassigned,other,169
unassigned,other,170
unassigned,other,171
unassigned,other,172
unassigned,other,173
unassigned,other,174
unassigned,other,175
unassigned,other,176
unassigned,other,177
unassigned,other,178
unassigned,other,179
unassigned,other,180
unassigned,other,181
unassigned,other,182
unassigned,other,183
unassigned,other,184
unassigned,other,185
unassigned,other,186
unassigned,other,187
unassigned,other,188
unassigned,other,189
unassigned,other,190
unassigned,other,191
unassigned,other,192
unassigned,other,193
unassigned,other,194
unassigned,other,195
unassigned,other,196
unassigned,other,197
unassigned,other,198
unassigned,other,199
unassigned,other,200
unassigned,other,201
unassigned,other,202
unassigned,other,203
unassigned,other,204
unassigned,other,205
unassigned,other,206
unassigned,other,207
unassigned,other,208
unassigned,other,209
unassigned,other,210
unassigned,other,211
unassigned,other,212
unassigned,other,213
unassigned,other,214
unassigned,other,215
unassigned,other,216
unassigned,other,217
unassigned,other,218
unassigned,other,219
unassigned,other,220
unassigned,other,221
unassigned,other,222
unassigned,other,223
unassigned,other,224
unassigned,other,225
unassigned,other,226
unassigned,other,227
unassigned,other,228
unassigned,other,229
unassigned,other,230
unassigned,other,231
unassigned,other,232
unassigned,other,233
unassigned,other,234
unassigned,other,235
unassigned,other,236
unassigned,other,237
unassigned,other,238
unassigned,other,239
unassigned,other,240
unassigned,other,241
unassigned,other,242
unassigned,other,243
unassigned,other,244
unassigned,other,245
unassigned,other,246
unassigned,other,247
unassigned,other,248
unassigned,other,249
unassigned,other,250
unassigned,other,251
unassigned,other,252
experimental,other,253
experimental,other,254
reserved,other,255
