old_asset_type,color,icon,asset_type
Building Automation Controller,,,Building Automation Controller
Fire Alarm Panel, ,,Fire Alarm Panel
UPS,,,UPS
Temperature Sensor,,,Temperature Sensor
PLC,,,PLC
Power Distribution Unit,,,Power Distribution Unit
BACnet Broadcast Management Device (BBMD),,,BACnet Broadcast Management Device (BBMD)
BACnet Router,,,BACnet Router
Room Automation Station,,,Room Automation Station
BACnet Router & BBMD,,,BACnet Router & BBMD
Temperature Sensor Gateway,,,Temperature Sensor Gateway
Power Supply,,,Power Supply
Building Automation Device,,,Building Automation Device
Water System,,,Water System
Solar Energy,,,Solar Energy
Lock Box,,,Lock Box
IoT Controller,,,IoT Controller
Power Meter,,,Power Meter
Elevator,,,Elevator
Building Management System,,,Building Management System
Electric Motor Drive,,,Electric Motor Drive
OT Device,,,OT Device
HMI,,,HMI
SCADA Server,,,SCADA Server
Historian,,,Historian
Remote I/O,,,Remote I/O
Engineering Station,,,Engineering Station
OT Gateway,,,OT Gateway
OPC Server,,,OPC Server
RTU,,,RTU
IED,,,IED
Controller,,,Controller
Front End Processor,,,Front End Processor
SCADA Master,,,SCADA Master
Robot,,,Robot
Autonomous Vehicle,,,Autonomous Vehicle
Motor Starter,,,Motor Starter
Sensor,,,Sensor
Vision Sensor,,,Vision Sensor
Vision Camera,,,Vision Camera
Vision Controller,,,Vision Controller
Smart Light,,,Smart Light
SCADA Client,,,SCADA Client
Circuit Monitor,,,Circuit Monitor
