AttackString, AttackDescription
"Device Pin", Device Exploit
"System Tampering", Device Exploit 
"EOP", Device Exploit
"Device jailbreaking/rooting", Device Exploit
"Unsecured WiFi Network", Device Exploit
"Suspicious Profile", Device Exploit
"SSL Strip", Network Attack
"Developer Options", Network Attack
"Stagefright Vulnerability", Network Attack
"ARP MITM", Network Attack
"Fake SSL certificate MITM", Network Attack
"Rogue Access Point", Network Attack
"Suspicious Android App", Malicious App
"Unknown sources download config changed", Malicious App
"Supicious iOS App", Malicious App
"Abnormal Process Activity", Malicious App
