Network,WiFi Attack,TCP Scan
Network,WiFi Attack,UDP Scan
Network,WiFi Attack,IP Scan
Network,WiFi Attack,ARP Scan
Network,WiFi Attack,MITM - ARP
Network,WiFi Attack,SYN Scan
Host,Malicious Website,Phishing Protection - Linked Tapped
Host,Device Exploit,Abnormal Process Activity
Network,WiFi Attack,MITM - ICMP Redirect
Host,Device Exploit,Elevation of Privileges (EOP)
Host,Malicious App,Suspicious Android App
Network,WiFi Attack,MITM - SSL Strip
Network,WiFi Attack,Proxy Change
Network,WiFi Attack,Gateway Change
Network,WiFi Attack,DNS Change
Host,WiFi Attack,TCP Scan6
Host,WiFi Attack,UDP Scan6
Host,WiFi Attack,IP Scan6
Host,WiFi Attack,Access Point Change
Host,Device Exploit,File System Changed
Host,Device Configuration,Untrusted Profile
Host,Device Configuration,Unknown Sources Enabled
Host,UNKNOWN,Rogue Cellular Tower MITM Attack
Host,WiFi Attack,Traffic Tampering
Host,WiFi Attack,Rogue WiFi Tower MITM
Host,Warning,User Closed the MTD App
Host,Device Exploit,Stagefright Anomaly
Host,Device Exploit,Media Server Anomaly
Host,Device Exploit,Stagefright Exploit
Network,WiFi Attack,MITM - Fake SSL Certificate
Network,WiFi Attack,Network Handoff
Host,Device Exploit,System Tampering
Network,WiFi Attack,Rogue Access Point
Host,Device Exploit,Device Jailbroken/Rooted
Host,Device Exploit,Stagefright Vulnerability
Host,Device Exploit,Vulnerability Mitigated
Host,Malicious App,Suspicious iOS App
Host,Device Exploit,Daemon Anomaly
Host,Device Configuration,USB Debugging Mode
Host,Device Configuration,Suspicious Profile
Host,Device Configuration,Developer Options
Network,WiFi Attack,Internal Network Access
Host,Device Configuration,Device Encryption
Host,Device Configuration,Device Pin
Host,Vulnerability,Vulnerable Android Version
Host,Vulnerability,Vulnerable iOS Version
Host,Vulnerability,SELinux Disabled
Host,WiFi Attack Exploit,Suspicious Root Process
Host,WiFi Attack,Suspicious Network Connection
Host,Device Exploit,System Integrity Failure
Network,WiFi Attack,Rogue Access Point Nearby
Network,WiFi Attack,Unsecured WiFi Network
Network,WiFi Attack,Captive Portal
Network,WiFi Attack,MITM
Host,Vulnerability,BlueBorne Vulnerability
Host,Device Exploit,Android Device - Compatibility Not Tested By Google
Host,Device Exploit,Android Device - Possible Tampering
Host,Malicious Website,Phishing Protection - Link Visited
Host,Device Exploit,App Tampering
Host,Malicious App,Sideloaded App(s)
Network,WiFi Attack,SSL/TLS Downgrade
Host,Warning,MTD Not Activated On Both Work And Personal Profiles - Android Enterprise
Network,WiFi Attack,Danger Zone Connected
Network,Warning,Danger Zone Nearby
Host,Device Exploit,Dynamic Code Loading
Host,Device Configuration,Silent App Installation
Host,Malicious App,Suspicious File Detected
Host,Device Configuration,Google Play Protect Disabled
Host,Vulnerability,Android Debug Bridge (ADB) Apps Not Verified
Host,Warning,Over-The-Air (OTA) Updates Disabled
Host,Warning,Always-on VPN App Set
Host,Vulnerability,Vulnerable Non-upgradeable iOS Version
Host,Vulnerability,Vulnerable Non-upgradeable Android Version
Host,Vulnerability,Dynamic code loading - Native
Host,Malicious App,Out of Compliance App
Host,Device Configuration,iTunes WiFi Sync Enabled
Host,Warning,Inactive App
Host,Device Exploit,App Debug Enabled
Host,Device Exploit,App Running on Emulator
Network,Composite Threat,Device Compromised via Network-based Effects
Host,Composite Threat,Device Compromised via Malicious App
Network,Composite Threat,Device Compromised via Phishing Attack
Host,Composite Threat,Device Compromised via iOS Malicious Profile 
Network,Composite Threat,Compromised Network
Host,Device Exploit,Compromised by Spyware
Host,Warning,Site Warning - Link Tapped
Host,Warning,Site Warning - Link Visited
Host,Warning,Site Blocked
Host,Warning,Risky Site - Link Tapped
Host,Warning,Risky Site - Link Visited
Host,Warning,Risky Site Blocked
Network,WiFi Attack,MITM - Fake SSL Certificate - Self Signed
Host,Host,Device Jailbroken/Rooted - Boot
Host,Host,Device Jailbroken/Rooted - App
Host,Warning,Tag Tracker Detected
Host,Device Configuration,Storage Permission Required
Host,Warning,Link Verification Disabled - On-device VPN
Host,Device Configuration,Battery Permission Required
Host,Device Configuration,Location Permission Required: Android
Host,Device Configuration,Location Permission Required: iOS
Host,Device Configuration,Device Admin Permission Required for Samsung Knox
Host,Device Configuration,Bluetooth Permission Required
Network,Device Configuration,Local Network Access Permission Required
Host,Device Configuration,Notification Permission Required
Network,Device Configuration,Link Verification Disabled - Safari Extension
Host,Device Configuration,Lockdown Mode Not Enabled
Host,Device Configuration,VPN Permission Required - Secure Web
Network,Device Configuration,VPN Permission Required - Secure Wi-Fi
Host,Malicious App,Sideloaded App from High Risk App Store
Host,Device Configuration,Android Debug Bridge (ADB) Wi-Fi Enabled
Host,Device Exploit,Forensic - Filesystem Mount Points Changed
Host,Vulnerability,OS Upgrade Available - iOS
Host,Vulnerability,OS Upgrade Available - Android
Host,Vulnerability,OS Not Compliant - iOS
Host,Vulnerability,OS Not Compliant - Android
Host,Vulnerability,OS Not Compliant and Not Upgradable - iOS
Host,Vulnerability,OS Not Compliant and Not Upgradable - Android
Host,Vulnerability,iOS Rapid Security Response Available
Host,Device Configuration,Unlocked Bootloader
Host,Device Exploit,Changes to System Libraries
Network,Warning,Cellular Network Change
Host,Warning,SIM Change
Host,Warning,Android App Container
Host,Composite Threat,Sideloaded Risky Malware
Network,WiFi Attack,DNS Not Configured
Host,Vulnerability,Actively Exploited Android Version
Host,Vulnerability,Actively Exploited iOS Version
Host,Malicious App,Suspicious PDF File
Network,WiFi Attack,Cellular Interception
Host,Device Configuration,Screen Sharing Active
Host,Device Configuration,Accessibility Active
Host,Device Exploit,Device Failed Integrity Check
Host,Device Exploit,Device Failed Strong Integrity Check
Host,Device Exploit,Device Failed Basic Integrity Check
Host,Device Configuration,iOS Shortcut Detection Disabled
Host,Device Configuration,Malicious iOS Shortcut Found
Host,Device Configuration,Risky iOS Shortcut Found
Host,Malicious App,Phishing PDF File
Host,Malicious App,Sensitive File Downloaded from the Device via ADB
Host,Device Configuration,File Pushed to a Sensitive Directory via ADB
Host,Device Configuration,Active ADB Session Detected
Host,Malicious App,Hacking Tools
Host,Malicious App,Unscanned Files
Host,Device Configuration,Accessibility Active - Sideloaded Malware
Host,Device Configuration,Screen Sharing Suspected
Host,Device Configuration,Enable Permissions for Zero-Touch Activation
Host,Device Configuration,Restart Device Reminder
Host,Device Exploit,App Integrity Check Failed
Host,Device Exploit,High Risk Fraudulent Device
Host,Device Configuration,Apple Approved Marketplace Enabled
Host,Malicious App,Protected App Sideloaded
Host,Device Configuration,Google Play Protect - Potentially Harmful Application
Host,Device Configuration,Google Play Protect - Dangerous Application
Host,Warning,App Pending Activation
Host,Warning,iOS Shortcut Detection Outdated
Host,Device Exploit,System Anomaly Detected
Host,Device Exploit,Android Custom ROM
Network,Warning,VPN Connection Active
Host,Malicious App,Suspected Sideloaded iOS App
Host,Malicious App,Suspicious APK File
Host,Device Exploit,Crash Log Anomaly Detected - System Process
Host,Device Exploit,Crash Log Anomaly Detected - Non-System Process
Host,Warning,TestFlight App Installed
Network,WiFi Attack,Network Anomaly with a Traffic Peak - iOS
Network,WiFi Attack,Network Anomaly with a Traffic Peak - Android
Network,WiFi Attack,Network Anomaly with a Country Connection - iOS
Network,WiFi Attack,Network Anomaly with a Country Connection - Android
Host,Device Configuration,Screen Capture Detected
Host,Warning,Protected App Running on an Unsupported Device
Host,Device Configuration,Android Device Policy Not Installed
Host,Device Exploit,Anomalous Fraud Activity
Network,Warning,Communication to Critical Apple Services Failed 
Host,Device Exploit,Regulatory-Blocked Apps
Host,Device Exploit,App Tampering Anomaly
Network,WiFi Attack,SSL Pinning Manipulation
Host,Warning,Detection Pending Activation
Host,Warning,Detection Inactive
