org_type,description,naics_code,isic_code
Accounting and Auditing,Accounting/Auditing and Bookeeping,541200,M6920
Advertising,Advertising,541800,M7310
Agriculture,Agriculture/Forestry/Fishing,110000,A0000
Agriculture,Gathering of Non-Wood Forest Products,113210,A0230
Agriculture,Logging,113310,A0220
Agriculture,Forest Nurseries and Gathering of Forest Products,113210,A0210
Agriculture,Timber Tract Operations,113110,A0210
Agriculture,Foresty and Logging,113000,A0200
Agriculture,Hunting and Trapping,114210,A0170
Agriculture,Support Activities for Crop Production,115100,A0160
Agriculture,Other Mixed Farming (Animal),112990,A0150
Agriculture,Other Mixed Farming (Crop),111998,A0150
Agriculture,Plant Propagation,111400,A0130
Agriculture,Production of Perennial Crops,111000,A0120
Agriculture,Production of Non-Perennial Crops,111000,A0110
Agriculture,Animal Production,112000,A0100
Agriculture,Crop Production,111000,A0100
Animal Production,Cattle Ranching and Farming,112100,A0141
Animal Production,Dairy Cattle and Milk Production,112120,A0141
Arts and Recreation,Arts/Entertainment/Recreation,710000,R9000
Arts and Recreation,Motion Picture and Video Exhibition,512130,J5914
Arts and Recreation,Motion Picture and Sound Recording Industries,512000,J5900
Arts and Recreation,Other Amusement and Recreation Activities,713990,R9329
Arts and Recreation,Amusement and Theme Parks,713110,R9321
Arts and Recreation,Other Sports/Amusement/Recreation Activities,713990,R9319
Arts and Recreation,Promoters of Performing Arts/Sports/Similar Events,711300,R9319
Arts and Recreation,Other Spectator Sports,711219,R9319
Arts and Recreation,Sports Teams and Clubs,711211,R9312
Arts and Recreation,Other Amusement and Recreation Industries,713900,R9311
Arts and Recreation,Racetracks,711212,R9311
Arts and Recreation,Sports/Amusement/Recreation Activities,,R9300
Arts and Recreation,Nature Parks and Other Similar Institutions,712190,R9103
Arts and Recreation,Zoos and Botanical Gardens,712130,R9103
Arts and Recreation,Historical Sites,712120,R9102
Arts and Recreation,Museums,712110,R9102
Banking,Banking,520000,K6410
Banking,Other Nondepository Credit Intermediation,522290,K6492
Banking,Other Monetary Intermediation,522190,K6419
Banking,Credit Unions,522130,K6419
Banking,Savings Institutions,522120,K6419
Banking,Foreign Banking,522110,K6419
Banking,Commercial Banking,522110,K6419
Banking,Central Banking,521110,K6411
Building Services,Services to Buildings and Landscape Activities,561200,N8100
Business Conglomerate,Business Conglomerate,,
Construction,Construction,230000,F0000
Construction,Specialty Trade Contractors,238000,F4300
Construction,Heavy and Civil Engineering Construction,237000,F4200
Construction,Construction of Buildings,236000,F4100
Data Services,Colocation/Hosting/Related Data Services,518210,J6311
Dining,Eating and Drinking Places,722000,I5610
Education,Professional Schools,611310,P8530
Education,Primary and Secondary Education,611110,P8500
Education,Automobile Driving Schools,611692,P8549
Education,Educational Support Activities,611710,P8550
Education,Other Miscellaneous Schools and Instruction,611699,P8549
Education,Cultural Education,611610,P8542
Education,Sports and Recreation Instruction,611620,P8541
Education,Colleges/Universities and Professional Schools,611310,P8530
Education,Junior Colleges,611210,P8530
Education,Two- and Four-Year Colleges,611000,P8530
Education,Technical and Trade Schools,611500,P8522
Education,Business Schools and Computer and Management Training,611400,P8522
Education,General Secondary Education,611110,P8521
Education,Pre-Primary and Primary Education,611110,P8510
Education,Education,611000,P8500
Finance,Bank Holding Companies,551111,K6420
Finance,Financial Services,520000,K6400
Finance,Fund Management Activities,523920,K6630
Finance,Activities Auxiliary to Insurance and Pension Funding,524200,K6620
Finance,Other Activities Auxiliary to Financial Service Activities,523990,K6619
Finance,Investment Advice,523930,K6619
Finance,Activities Related to Credit Intermediation,522300,K6619
Finance,Securities and Commodity Exchanges,523210,K6612
Finance,Commodity Contracts Dealing,523130,K6612
Finance,Securities Brokerage,523120,K6612
Finance,Administration of Financial Markets,523210,K6611
Finance,Activities Auxiliary to Financial Intermediation,523000,K6610
Finance,Activities Auxiliary to Finance and Insurance,520000,K6600
Finance,Mortgages,522292,K6492
Finance,Trusts and Estates,525920,K6430
Finance,Other Holding Companies,551112,K6420
Financial Aggregator Services,Online Financial Services and Aggregators,525320,K6490
Fishing,Seafood Product Preparation and Packaging,311710,A0310
Fishing,Aquaculture,112500,A0320
Fishing,Fishing,114100,A0310
Forestry,Support Activities for Forestry,115310,A0240
Gaming,Gambling and Betting Activities,713200,R9200
Government,Public Administration and Defense,920000,O8400
