"splunk_add_on","splunk_add_on_name"
352,"Analytics for Nagios"
635,"PAVO Getwatchlist Add-on"
669,"Cisco CDR Reporting and Analytics"
742,"Splunk Add-on for Microsoft Windows"
833,"Splunk Add-on for Unix and Linux"
1033,"Administration App for Netwitness"
1182,"Splunk Technology Add-on for HadoopOps"
1214,"Home Monitor"
1253,"Splunk Add-on for Microsoft Hyper-V"
1448,"uberAgent UXM - Digital Employee Experience (DEX)"
1467,"Cisco Networks Add-on for Splunk Enterprise"
1527,"TA-pfsense"
1620,"Splunk Add-on for Cisco ASA"
1621,"Splunk Common Information Model (CIM)"
1640,"Add-on for Bro-IDS"
1658,"Splunk Add-on for NetFlow"
1705,"Splunk App for Citrix CloudBridge"
1747,"Splunk Add-on for Cisco WSA"
1761,"Splunk Add-on for Cisco ESA"
1801,"Splunk Add-on for IPFIX"
1808,"Splunk Add-on for Cisco FireSIGHT"
1809,"Splunk App for Stream"
1811,"Technology Add-on for Cisco Secure Access Control Server (ACS)"
1827,"DNS Insight"
1837,"DHCP Insight"
1838,"Technology Add-on for NetFlow"
1841,"Splunk IT Service Intelligence"
1854,"Splunk Add-on for Sophos"
1867,"SonicWall Analytics"
1876,"Splunk Add-on for Amazon Web Services (AWS)"
1878,"TA for Digital Guardian"
1897,"Cisco ACI Add-on for Splunk Enterprise"
1903,"Splunk Add-on for Cisco IPS"
1910,"Splunk Add-on for Oracle Database"
1915,"Splunk Add-on for Cisco Identity Services"
1916,"Cisco Nexus 9k App for Splunk Enterprise"
1918,"Arista Networks Telemetry For Splunk"
1933,"Technology Add-On for NetApp SANtricity"
2648,"Splunk Add-on for Microsoft SQL Server"
2679,"Splunk Add-on for Box"
2680,"Splunk Add-on for F5 BIG-IP"
2689,"Dell PowerScale Add-on for Splunk"
2731,"Splunk Add-on for Cisco UCS"
2757,"Palo Alto Networks Add-on for Splunk"
2758,"Splunk Add-on for Symantec Blue Coat ProxySG"
2770,"Splunk Add-on for Citrix NetScaler"
2772,"Splunk Add-on for Symantec Endpoint Protection"
2779,"App for cassandra cluster monitoring"
2789,"Splunk Add-on for IBM WebSphere Application Server"
2790,"Splunk Add-on for Carbon Black"
2808,"Splunk Add-on for OSSEC"
2812,"EMC XtremIO App for Splunk Enterprise"
2846,"Fortinet FortiGate Add-On for Splunk"
2847,"Splunk Add-on for Juniper"
2848,"Splunk Add-on for MySQL"
2866,"Add-On for Fidelis XPS"
2876,"Splunk Add-on for ISC BIND"
2891,"Splunk Add-on for CyberArk"
2911,"Splunk Add-on for Tomcat"
2915,"Proofpoint - ET Splunk TA"
2916,"Clearswift SECURE Email Gateway Add-on for Splunk"
2934,"Splunk Add-on for Infoblox"
2935,"Splunk Add-on for Kafka"
2954,"Splunk Add-on for JBoss"
2955,"Splunk Add-on for Websense DLP"
2958,"Splunk Add-on for RSA SecurID"
2964,"Qualys Technology Add-on (TA) for Splunk"
2965,"Splunk Add-on for Squid Proxy"
2966,"Splunk Add-on for Forcepoint Web Security"
2992,"Cisco Endpoint Security Analytics (CESA)"
2998,"uberAgent indexer app"
3009,"Splunk Add-on for McAfee Web Gateway"
3010,"Splunk Add-on for ISC DHCP"
3011,"Add-on for Microsoft Forefront Threat Management Gateway"
3029,"Splunk Add-on for Symantec DLP"
3030,"Splunk Add-on for Akamai"
3062,"Cognia Event Receiver"
3080,"Proofpoint Email Security Add-On using Remote Syslog"
3087,"Splunk Add-on for BMC Remedy"
3089,"Linux Netfilter (iptables) Technology Add-On"
3110,"Splunk Add-on for Microsoft Cloud Services"
3135,"Splunk Add-on for HAProxy"
3154,"NTP Statistics Add-on for Nix"
3155,"NTP Statistics Add-on for Windows"
3186,"Splunk Add-on for Apache Web Server"
3203,"Dome9 App for Splunk"
3204,"Evident.io App for Splunk"
3215,"Splunk Add-on for VMware"
3225,"Splunk Add-on for Microsoft Exchange"
3233,"CylancePROTECT App for Splunk"
3249,"FortiMail Add-on for Splunk"
3258,"Splunk Add-on for NGINX"
3266,"iboss Add-on for Splunk"
3271,"Centrify Add-on for Splunk"
3324,"Cisco Umbrella Investigate Add-on"
3332,"Splunk App for Jenkins"
3367,"Real-Time Jira Service Desk Connector for Splunk"
3376,"DomainTools App for Splunk (Legacy)"
3377,"Microsoft DNS Debug Log"
3382,"Forescout Technology Add-on for Splunk"
3412,"Splunk Add-on for Linux"
3416,"Dell EMC PowerMax Add-on for Splunk"
3418,"Splunk Add-on for NetApp Data ONTAP"
3448,"Demisto Add-on for Splunk"
3465,"Splunk Add-on for New Relic"
3471,"Splunk Add-on for AppDynamics"
3477,"Fidelis Cybersecurity Add-on for Splunk"
3495,"Fastly (Signal Sciences) NG-WAF - TA"
3506,"CentralOps Whois Technology Add-On"
3515,"BluVector App for Splunk"
3520,"OpenLDAP Add-on for Splunk"
3539,"Darktrace App for Splunk"
3549,"Splunk Add-on for Salesforce"
3581,"TA-Tomato (DD-WRT compatible)"
3656,"MySQL Query Audit Add-on for Splunk"
3657,"TA-Illumio"
3662,"Cisco Secure eStreamer Client Add-On for Splunk"
3663,"Cisco Firepower eNcore App for Splunk"
3670,"Cisco Secure Endpoint (formerly AMP for endpoints)"
3673,CryptoniteNXT
3697,"SANS ISC Adaptive Response Action For Splunk"
3700,"Shodan Adaptive Response Action for Splunk"
3703,"Telegram Alert Action"
3704,"Olfeo Add-on for Splunk"
3709,"CylancePROTECT Add-on for Splunk Enterprise"
3719,"Splunk Add-on for Amazon Kinesis Firehose"
