"data_descriptor_url","L6_sourcetype_category","data_descriptor_display"
"https://lantern.splunk.com/Data_Descriptors","*","*"
"https://lantern.splunk.com/Data_Descriptors/Amazon",Amazon,Amazon
"https://lantern.splunk.com/Data_Descriptors/Apache","Server log data","Server log data"
"https://lantern.splunk.com/Data_Descriptors/Application_data","APM tool data","APM tool data"
"https://lantern.splunk.com/Data_Descriptors/Application_data","Database data","Database data"
"https://lantern.splunk.com/Data_Descriptors/Application_data","Telephony data","Telephony data"
"https://lantern.splunk.com/Data_Descriptors/Application_server_data","Application server data","Application server data"
"https://lantern.splunk.com/Data_Descriptors/Authentication_data","Authentication data","Authentication data"
"https://lantern.splunk.com/Data_Descriptors/Backup_data","Backup data","Backup Data"
"https://lantern.splunk.com/Data_Descriptors/Change_events_data","System log data","System log Data"
"https://lantern.splunk.com/Data_Descriptors/Change_events_data",Change,Change
"https://lantern.splunk.com/Data_Descriptors/Cisco",Cisco,Cisco
"https://lantern.splunk.com/Data_Descriptors/DNS_data","DNS data","DNS data"
"https://lantern.splunk.com/Data_Descriptors/Dell","Dell EMC Isilon data","Dell EMC Isilon data"
"https://lantern.splunk.com/Data_Descriptors/Endpoint_detection_and_response_(EDR)_data","Endpoint data","Endpoint Data"
"https://lantern.splunk.com/Data_Descriptors/Firewall_data","Firewall data","Firewall Data"
"https://lantern.splunk.com/Data_Descriptors/Firewall_data","VPN data","VPN data"
"https://lantern.splunk.com/Data_Descriptors/Google","Google Workspace","Google Workspace"
"https://lantern.splunk.com/Data_Descriptors/IP_address_assignment_data","DHCP data","DHCP data"
"https://lantern.splunk.com/Data_Descriptors/Intrusion_detection_and_prevention_data_(IDS_and_IPS)","Intrusion detection and prevention data","Intrusion detection and prevention data"
"https://lantern.splunk.com/Data_Descriptors/Intrusion_detection_and_prevention_data_(IDS_and_IPS)","Intrusion Detection","Intrusion Detection"
"https://lantern.splunk.com/Data_Descriptors/Linux_and_Unix","Linux and Unix","Linux and Unix"
"https://lantern.splunk.com/Data_Descriptors/Load_balancer_data","Load balancer data","Load balancer data"
"https://lantern.splunk.com/Data_Descriptors/Microsoft","Microsoft Sysmon data","Microsoft Sysmon Data"
"https://lantern.splunk.com/Data_Descriptors/Microsoft",Microsoft,Microsoft
"https://lantern.splunk.com/Data_Descriptors/Microsoft","Microsoft 365 data","Microsoft 365 data"
"https://lantern.splunk.com/Data_Descriptors/Microsoft","Microsoft Active Directory data","Microsoft Active Directory data"
"https://lantern.splunk.com/Data_Descriptors/Microsoft","Microsoft Azure data","Microsoft Azure data"
"https://lantern.splunk.com/Data_Descriptors/Network_communication_data","Deep packet inspection data","Deep packet inspection data"
"https://lantern.splunk.com/Data_Descriptors/Network_communication_data","Infrastructure data","Infrastructure data"
"https://lantern.splunk.com/Data_Descriptors/Network_communication_data","Network access control data","Network access control data"
"https://lantern.splunk.com/Data_Descriptors/Network_communication_data","Network protocol data","Network protocol data"
"https://lantern.splunk.com/Data_Descriptors/Network_communication_data","Network router data","Network router data"
"https://lantern.splunk.com/Data_Descriptors/Network_communication_data","Network switch data","Network switch data"
"https://lantern.splunk.com/Data_Descriptors/Network_communication_data","Network Traffic","Network Traffic"
"https://lantern.splunk.com/Data_Descriptors/Physical_security_data","Physical card reader data","Physical card reader data"
"https://lantern.splunk.com/Data_Descriptors/Salesforce","Salesforce data","Salesforce data"
"https://lantern.splunk.com/Data_Descriptors/VMware","VMware data","VMware data"
"https://lantern.splunk.com/Data_Descriptors/Vendor-specific_data","Medical device data","Medical device Data"
"https://lantern.splunk.com/Data_Descriptors/Vendor-specific_data","Business service data","Business service data"
"https://lantern.splunk.com/Data_Descriptors/Web_proxy_data","Proxy data","Proxy Data"
"https://lantern.splunk.com/Data_Descriptors/Web_server_data","Binary repositories data","Binary repositories Data"
"https://lantern.splunk.com/Data_Descriptors/Web_server_data","Web server data","Web server Data"
"https://lantern.splunk.com/Data_Descriptors/Web_server_data",Web,Web
"https://lantern.splunk.com/Data_Descriptors/Zoom","Zoom data","Zoom data"
"https://lantern.splunk.com/Data_Descriptors/Zscaler",Zscaler,Zscaler
