asn,description,category
AS200052,SERVERD,bulletproof
AS44477,Stark Industries,bulletproof
AS9009,M247,bulletproof
AS51659,Aeza Group,bulletproof
AS211252,Delis LLC,bulletproof
AS48693,Reba Communications,bulletproof
AS209588,Flyservers,bulletproof
AS215540,PQ Hosting,bulletproof
