blocking_code,signature
0,Unknown
1,File name
2,Webmail site
3,Web server
4,URL pattern
5,Java/VB script
6,True file type
7,User-defined
8,Server-defined
9,Web policy
11,Phishing
12,Phishing/Spyware/Grayware
13,Phishing/Virus/Malware accomplice
14,Phishing/Forged signature
15,Phishing/Disease vector
16,Phishing/Malicious applet
17,Phishing reputation
20,IP translation policy
21,Java scanning policy
22,Malicious mobile code policy
31,Pharming
32,URL blocking
33,URL filtering
34,Client IP blocking
35,Destination port blocking
36,Web reputation
41,Unsupported file type
42,Exceeds total file count limit
43,Exceeds file size limit
44,Exceeds decompression layer limit
45,Exceeds decompression time frame
46,Exceeds compression ratio limit
47,Password protected file
48,Restricted spyware/grayware type
60,String pattern
70,HTTP inspection
-1,Virus/Malware
-2,Spyware/Grayware
-3,Network virus
-4,IntelliTrap
-5,Suspicious virus/malware
-6,Suspicious spyware/grayware
-7,Fraud
-8,Suspicious behavior
