cn3,object_category
65535,Not available
0,Removable storage
1,SMB
2,Email
3,IM
4,FTP
5,HTTP
6,HTTPS
7,PGP
8,Data recorders
9,Printer
10,Clipboard
11,Sync
12,P2P
13,Webmail
14,Document management
15,Cloud storage
121,SMTP email
122,Exchange Client Mail
123,Lotus Note Email
130,Webmail (Yahoo! Mail)
131,Webmail (Hotmail)
132,Webmail (Gmail)
133,Webmail (AOL Mail)
140,IM (MSN)
141,IM (AIM)
142,IM (Yahoo Messenger)
143,IM (Skype)
191,P2P (BitTorrent)
192,P2P (EMule)
193,P2P (Winny)
194,P2P (HTCSYN)
195,P2P (iTunes)
196,Cloud storage (DropBox)
197,Cloud storage (Box)
198,Cloud storage (Google Drive)
199,Cloud storage (OneDrive)
200,Cloud storage (SugarSync)
201,Cloud storage (Hightail)
202,IM (QQ)
203,Webmail (other)
204,Cloud storage (Evernote)
211,Document management (SharePoint)
