proto,protocol
0,Unknown
1,SMTP
2,POP3
3,IRC
4,DNS Response
5,HTTP
6,FTP
7,TFTP
8,SMB
9,Windows Live Messenger (MSN)
10,AIM
11,Yahoo! Messenger
12,Gmail
13,Yahoo! Mail
14,Windows Live Hotmail
15,RDP
16,DHCP
17,Telnet
18,LDAP
19,File transfer
20,SSH
21,Dameware
22,VNC
23,Cisco Telnet
24,Kerberos
25,DCE RPC
26,SQL
27,pcAnywhere
28,ICMP
29,SNMP
30,Virus pattern TCP
31,Virus pattern UDP
32,HTTPS
33,SMB2
34,MMS
35,IMAP4
36,RADIUS
37,Radmin
38,FTP_Response
48,RTSP/RTP-UDP
49,RTSP/RTP-TCP
50,RTSP/RDT-UDP
51,RTSP/RDT-TCP
52,WMSP
53,SHOUTCast
54,RTMP
68,DNS Request
256,BitTorrent
257,Kazaa
258,Limewire
259,Bearshare
260,Bluester
261,Edonkey emule
262,Edonkey2000
263,Filezilla
264,Guncleus
265,Gnutella
266,Winny
267,Napster
268,Morpheus
269,Napster
270,Shareaza
271,WinMX
272,Mldonkey
273,Direct Connect
274,Soulseek
275,OpenAP
276,Kuro
277,Imesh
278,Skype
279,Google Talk
317,Cabos
318,Zultrax
319,Foxy
320,eDonkey
321,Ares
322,Miranda
323,Kceasy
324,MoodAmp
325,Deepnet Explorer
326,FreeWire
327,Gimme
328,GnucDNA GWebCache
329,Jubster
330,MyNapster
331,Nova GWebCache
332,Swapper GWebCache
333,Xnap
334,Xolox
335,Ppstream
640,AIM Express
641,Chikka SMS Messenger
642,eBuddy
643,ICQ2Go
644,ILoveIM Web Messenger
645,IMUnitive
646,Mabber
647,Meebo
648,Yahoo! Web Messenger
848,SIP2
1024,GPass
10001,IP
10002,ARP
10003,TCP
10004,UDP
10005,IGMP
60,ORACLE
44,MySQL
520,MSSQL
337,Postgres
41,ICMPv6
10006,GGP
10007,PUP
10008,IDP
10009,ND
10010,RAW
