act,action,action_id
Unknown,unknown,0
N/A,unknown,1
File cleaned,allowed,21
File deleted,blocked,22
File quarantined,quarantined,23
File renamed,unknown,24
File passed,allowed,25
Unable to clean file. Passed,unknown,26
Unable to clean file. Deleted,unknown,27
Unable to clean file. Renamed,unknown,28
Unable to clean file. Quarantined,unknown,29
File dropped,blocked,30
Unable to clean file. Stripped,unknown,31
File replaced,unknown,32
File dropped,blocked,33
File archived,unknown,34
Blocked successfully,blocked,35
Quarantined successfully,quarantined,36
Stamped successfully,unknown,37
File uploaded,unknown,38
Unable to clean file. Quarantined,unknown,39
Unable to clean file. Passed,unknown,40
Access denied,blocked,41
No action,allowed,42
Reboot system successfully,unknown,43
Spyware/Grayware unsafe to clean,unknown,44
Scan manually stopped successfully,unknown,45
Redirected mail for approval successfully,unknown,46
Encrypted,unknown,81
Unable to clean file,unknown,121
Unable to delete file,unknown,122
Unable to quarantine file,unknown,123
Unable to rename file,unknown,124
Unable to pass file,unknown,125
Unable to clean or pass file,unknown,126
Unable to clean or delete file,unknown,127
Unable to clean or rename file,unknown,128
Unable to clean or quarantine file,unknown,129
Unable to strip file,unknown,130
Unable to clean or strip file,unknown,131
Unable to replace file,unknown,132
Unable to drop file,unknown,133
Unable to archive file,unknown,134
Unable to block file,unknown,135
Unable to quarantine file,unknown,136
Unable to stamp file,unknown,137
Unable to upload file,unknown,138
Unable to clean or quarantine file,unknown,139
Unable to clean or pass file,unknown,140
Unable to deny access,unknown,141
Unable to perform no action,unknown,142
Action required - Restart the endpoint to finish cleaning the security threat,unknown,143
Undefined,unknown,144
Unable to stop scan manually,unknown,145
Unable to redirect mail for approval,unknown,146
Action required - Perform a full system scan,unknown,201
Action required - Use the "Rescue Disk"*,unknown,202
Action required - Use the "Rootkit Buster"*,unknown,203
Action required - Use the "Clean Boot"*,unknown,204
