signature_id,title,dataset_name
190,Alert Started,trendmicro_cloudone_alert
1908,AWS Account Synchronization Requested,trendmicro_cloudone_system
1909,AWS Account Synchronization Finished,trendmicro_cloudone_system
192,Alert Ended,trendmicro_cloudone_inventory
2204,Security Update: Pattern Update on Agents/Appliances Successful,trendmicro_cloudone_change
251,Computer Deleted,trendmicro_cloudone_change
252,Computer Updated,trendmicro_cloudone_change
276,Update: Summary Information,trendmicro_cloudone_change
564,Scheduled Task Started,trendmicro_cloudone_change
582,Intrusion Prevention Rules Require Configuration,trendmicro_cloudone_alert
602,User Timed Out,trendmicro_cloudone_system
650,User Created,trendmicro_cloudone_change
710,Events Retrieved,trendmicro_cloudone_change
720,Policy Sent,trendmicro_cloudone_policy
803,Agent configuration package too large,trendmicro_cloudone_alert
926,Smart Protection Server Disconnected for Smart Scan,trendmicro_cloudone_alert
927,Smart Protection Server Connected for Smart Scan,trendmicro_cloudone_alert
