Technique_ID,Technique_Name,Tactics,Platform,Permissions_Required,Effective_Permissions,Data_Sources,CAPEC_ID,Contributors,Requires_Network,Version,Description,Mitigations
T1156,.bash_profile and .bashrc,Persistence,"Linux, macOS","User, Administrator",,"File monitoring, Process monitoring, Process command-line parameters, Process use of network",,,,1.1,"<div class=""col-md-8 description-body"">
                                <p><code>~/.bash_profile</code> and <code>~/.bashrc</code> are shell scripts that contain shell commands. These files are executed in a user's context when a new shell opens or when a user logs in so that their environment is set correctly. <code>~/.bash_profile</code> is executed for login shells and <code>~/.bashrc</code> is executed for interactive non-login shells. This means that when a user logs in (via username and password) to the console (either locally or remotely via something like SSH), the <code>~/.bash_profile</code> script is executed before the initial command prompt is returned to the user. After that, every time a new shell is opened, the <code>~/.bashrc</code> script is executed. This allows users more fine-grained control over when they want certain commands executed. These shell scripts are meant to be written to by the local user to configure their own environment. </p><p>The macOS Terminal.app is a little different in that it runs a login shell by default each time a new terminal window is opened, thus calling <code>~/.bash_profile</code> each time instead of <code>~/.bashrc</code>.</p><p>Adversaries may abuse these shell scripts by inserting arbitrary shell commands that may be used to execute other binaries to gain persistence. Every time the user logs in or opens a new shell, the modified ~/.bash_profile and/or ~/.bashrc scripts will be executed.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""amnesia malware""></span>.</p>
                            </div>",Restrict File and Directory Permissions:=Making these files immutable and only changeable by certain administrators will limit the ability for adversaries to easily create user level persistence.
T1134,Access Token Manipulation,"Defense Evasion, Privilege Escalation",Windows,"User, Administrator",SYSTEM,"API monitoring, Access tokens, Process monitoring, Process command-line parameters",CAPEC-633,"Tom Ueltschi @c_APT_ure; Travis Smith, Tripwire; Robby Winchester, @robwinchester3; Jared Atkinson, @jaredcatkinson",,1,"<div class=""col-md-8 description-body"">
                                <p>Windows uses access tokens to determine the ownership of a running process. A user can manipulate access tokens to make a running process appear as though it belongs to someone other than the user that started the process. When this occurs, the process also takes on the security context associated with the new token. For example, Microsoft promotes the use of access tokens as a security best practice. Administrators should log in as a standard user but run their tools with administrator privileges using the built-in access token manipulation command <code>runas</code>.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Microsoft runas""></span></p><p>Adversaries may use access tokens to operate under a different user or system security context to perform actions and evade detection. An adversary can use built-in Windows API functions to copy access tokens from existing processes; this is known as token stealing. An adversary must already be in a privileged user context (i.e. administrator) to steal a token. However, adversaries commonly use token stealing to elevate their security context from the administrator level to the SYSTEM level. An adversary can use a token to authenticate to a remote system as the account for that token if the account has appropriate permissions on the remote system.<span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Pentestlab Token Manipulation""></span></p><p>Access tokens can be leveraged by adversaries through three methods:<span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""BlackHat Atkinson Winchester Token Manipulation""></span></p><p><strong>Token Impersonation/Theft</strong> - An adversary creates a new access token that duplicates an existing token using <code>DuplicateToken(Ex)</code>. The token can then be used with <code>ImpersonateLoggedOnUser</code> to allow the calling thread to impersonate a logged on user's security context, or with <code>SetThreadToken</code> to assign the impersonated token to a thread. This is useful for when the target user has a non-network logon session on the system.</p><p><strong>Create Process with a Token</strong> - An adversary creates a new access token with <code>DuplicateToken(Ex)</code> and uses it with <code>CreateProcessWithTokenW</code> to create a new process running under the security context of the impersonated user. This is useful for creating a new process under the security context of a different user.</p><p><strong>Make and Impersonate Token</strong> - An adversary has a username and password but the user is not logged onto the system. The adversary can then create a logon session for the user using the <code>LogonUser</code> function. The function will return a copy of the new session's access token and the adversary can use <code>SetThreadToken</code> to assign the token to a thread.</p><p>Any standard user can use the <code>runas</code> command, and the Windows API functions, to create impersonation tokens; it does not require access to an administrator account.</p><p>Metasploit&#8217;s Meterpreter payload allows arbitrary token manipulation and uses token impersonation to escalate privileges.<span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""Metasploit access token""></span> The Cobalt Strike beacon payload allows arbitrary token impersonation and can also create tokens. <span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""Cobalt Strike Access Token""></span></p>
                            </div>",Privileged Account Management:=Limit permissions so that users and user groups cannot create tokens. This setting should be defined for the local system account only. GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Create a token object. Also define who can create a process level token to only the local and network service through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Replace a process level token.||User Account Management:=An adversary must already have administrator level access on the local system to make full use of this technique; be sure to restrict users and accounts to the least privileges they require.
T1015,Accessibility Features,"Persistence, Privilege Escalation",Windows,Administrator,SYSTEM,"Windows Registry, File monitoring, Process monitoring",CAPEC-558,"Paul Speulstra, AECOM Global Security Operations Center",,1,"<div class=""col-md-8 description-body"">
                                <p>Windows contains accessibility features that may be launched with a key combination before a user has logged in (for example, when the user is on the Windows logon screen). An adversary can modify the way these programs are launched to get a command prompt or backdoor without logging in to the system.</p><p>Two common accessibility programs are <code>C:\Windows\System32\sethc.exe</code>, launched when the shift key is pressed five times and <code>C:\Windows\System32\utilman.exe</code>, launched when the Windows + U key combination is pressed. The sethc.exe program is often referred to as ""sticky keys"", and has been used by adversaries for unauthenticated access through a remote desktop login screen. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""FireEye Hikit Rootkit""></span></p><p>Depending on the version of Windows, an adversary may take advantage of these features in different ways because of code integrity enhancements. In newer versions of Windows, the replaced binary needs to be digitally signed for x64 systems, the binary must reside in <code>%systemdir%\</code>, and it must be protected by Windows File or Resource Protection (WFP/WRP). <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""DEFCON2016 Sticky Keys""></span> The debugger method was likely discovered as a potential workaround because it does not require the corresponding accessibility feature binary to be replaced. Examples for both methods:</p><p>For simple binary replacement on Windows XP and later as well as and Windows Server 2003/R2 and later, for example, the program (e.g., <code>C:\Windows\System32\utilman.exe</code>) may be replaced with ""cmd.exe"" (or another program that provides backdoor access). Subsequently, pressing the appropriate key combination at the login screen while sitting at the keyboard or when connected over Remote Desktop Protocol will cause the replaced file to be executed with SYSTEM privileges. <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Tilbury 2014""></span></p><p>For the debugger method on Windows Vista and later as well as Windows Server 2008 and later, for example, a Registry key may be modified that configures ""cmd.exe,"" or another program that provides backdoor access, as a ""debugger"" for the accessibility program (e.g., ""utilman.exe""). After the Registry is modified, pressing the appropriate key combination at the login screen while at the keyboard or when connected with RDP will cause the ""debugger"" program to be executed with SYSTEM privileges. <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Tilbury 2014""></span></p><p>Other accessibility features exist that may also be leveraged in a similar fashion: <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""DEFCON2016 Sticky Keys""></span></p><ul><li>On-Screen Keyboard: <code>C:\Windows\System32\osk.exe</code></li><li>Magnifier: <code>C:\Windows\System32\Magnify.exe</code></li><li>Narrator: <code>C:\Windows\System32\Narrator.exe</code></li><li>Display Switcher: <code>C:\Windows\System32\DisplaySwitch.exe</code></li><li>App Switcher: <code>C:\Windows\System32\AtBroker.exe</code></li></ul>
                            </div>","Execution Prevention:=Adversaries can replace accessibility features binaries with alternate binaries to execute this technique. Identify and block potentially malicious software executed through accessibility features functionality by using application whitelisting tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.||Limit Access to Resource Over Network:=If possible, use a Remote Desktop Gateway to manage connections and security configuration of RDP within a network.||Operating System Configuration:=To use this technique remotely, an adversary must use it in conjunction with RDP. Ensure that Network Level Authentication is enabled to force the remote desktop session to authenticate before the session is created and the login screen displayed. It is enabled by default on Windows Vista and later."
T1531,Account Access Removal,Impact,"Linux, macOS, Windows","User, Administrator, root, SYSTEM",,"Windows event logs, Process command-line parameters, Process monitoring",,,,1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: changed credentials) to remove access to accounts.</p><p>Adversaries may also subsequently log off and/or reboot boxes to set malicious changes into place.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""CarbonBlack LockerGoga 2019""></span><span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Unit42 LockerGoga 2019""></span></p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1087,Account Discovery,Discovery,"Linux, macOS, Windows, Office 365, Azure AD",User,,"Azure activity logs, Office 365 account logs, API monitoring, Process monitoring, Process command-line parameters",CAPEC-575,"Microsoft Threat Intelligence Center (MSTIC); Travis Smith, Tripwire",,2,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may attempt to get a listing of local system or domain accounts. </p><h3>Windows</h3><p>Example commands that can acquire this information are <code>net user</code>, <code>net group <groupname></groupname></code>, and <code>net localgroup <groupname></groupname></code> using the Net utility or through use of dsquery. If adversaries attempt to identify the primary user, currently logged in user, or set of users that commonly uses a system, System Owner/User Discovery may apply.</p><h3>Mac</h3><p>On Mac, groups can be enumerated through the <code>groups</code> and <code>id</code> commands. In mac specifically, <code>dscl . list /Groups</code> and <code>dscacheutil -q group</code> can also be used to enumerate groups and users.</p><h3>Linux</h3><p>On Linux, local users can be enumerated through the use of the <code>/etc/passwd</code> file which is world readable. In mac, this same file is only used in single-user mode in addition to the <code>/etc/master.passwd</code> file.</p><p>Also, groups can be enumerated through the <code>groups</code> and <code>id</code> commands.</p><h3>Office 365 and Azure AD</h3><p>With authenticated access there are several tools that can be used to find accounts. The <code>Get-MsolRoleMember</code> PowerShell cmdlet can be used to obtain account names given a role or permissions group.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Microsoft msolrolemember""></span><span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""GitHub Raindance""></span></p><p>Azure CLI (AZ CLI) also provides an interface to obtain user accounts with authenticated access to a domain. The command <code>az ad user list</code> will list all users within a domain.<span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Microsoft AZ CLI""></span><span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""Black Hills Red Teaming MS AD Azure, 2018""></span> </p><p>The <code>Get-GlobalAddressList</code> PowerShell cmdlet can be used to obtain email addresses and accounts from a domain using an authenticated session.<span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""Microsoft getglobaladdresslist""></span><span onclick=""scrollToRef('scite-6')"" id=""scite-ref-6-a"" class=""scite-citeref-number"" data-reference=""Black Hills Attacking Exchange MailSniper, 2016""></span></p>
                            </div>",Operating System Configuration:=Prevent administrator accounts from being enumerated when an application is elevating through UAC since it can lead to the disclosure of account names. The Registry key is located HKLM\ SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI\EnumerateAdministrators. It can be disabled through GPO: Computer Configuration > [Policies] > Administrative Templates > Windows Components > Credential User Interface: E numerate administrator accounts on elevation.
T1098,Account Manipulation,"Credential Access, Persistence","Windows, Office 365, Azure, GCP, Azure AD, AWS",Administrator,,"Authentication logs, API monitoring, Windows event logs, Packet capture",,"Jannie Li, Microsoft Threat Intelligence?Center?(MSTIC); Praetorian; Tim MalcomVetter",,2,"<div class=""col-md-8 description-body"">
                                <p>Account manipulation may aid adversaries in maintaining access to credentials and certain permission levels within an environment. Manipulation could consist of modifying permissions, modifying credentials, adding or changing permission groups, modifying account settings, or modifying how authentication is performed. These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to subvert password duration policies and preserve the life of compromised credentials. In order to create or manipulate accounts, the adversary must already have sufficient permissions on systems or the domain.</p><h3>Exchange Email Account Takeover</h3><p>The Add-MailboxPermission PowerShell cmdlet, available in on-premises Exchange and in the cloud-based service Office 365, adds permissions to a mailbox.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Microsoft - Add-MailboxPermission""></span> This command can be run, given adequate permissions, to further access granted to certain user accounts. This may be used in persistent threat incidents as well as BEC (Business Email Compromise) incidents where an adversary can assign more access rights to the accounts they wish to compromise. This may further enable use of additional techniques for gaining access to systems. For example, compromised business accounts are often used to send messages to other accounts in the network of the target business while creating inbox rules so the messages evade spam/phishing detection mechanisms.<span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Bienstock, D. - Defending O365 - 2019""></span></p><h3>Azure AD</h3><p>In Azure, an adversary can set a second password for Service Principals, facilitating persistence.<span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Blue Cloud of Death""></span></p><h3>AWS</h3><p>AWS policies allow trust between accounts by simply identifying the account name. It is then up to the trusted account to only allow the correct roles to have access.<span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""Summit Route Advanced AWS policy auditing""></span></p>
                            </div>","Multi-factor Authentication:=Use multi-factor authentication for user and privileged accounts.||Network Segmentation:=Configure access controls and firewalls to limit access to critical systems and domain controllers. Most cloud environments support separate virtual private cloud (VPC) instances that enable further segmentation of cloud systems.||Operating System Configuration:=Protect domain controllers by ensuring proper security configuration for critical servers to limit access by potentially unnecessary protocols and services, such as SMB file sharing.||Privileged Account Management:=Do not allow domain administrator accounts to be used for day-to-day operations that may expose them to potential adversaries on unprivileged systems."
T1182,AppCert DLLs,"Persistence, Privilege Escalation",Windows,"Administrator, SYSTEM","Administrator, SYSTEM","Loaded DLLs, Process monitoring, Windows Registry",,,,1,"<div class=""col-md-8 description-body"">
                                <p>Dynamic-link libraries (DLLs) that are specified in the AppCertDLLs Registry key under <code>HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager</code> are loaded into every process that calls the ubiquitously used application programming interface (API) functions CreateProcess, CreateProcessAsUser, CreateProcessWithLoginW, CreateProcessWithTokenW, or WinExec. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Endgame Process Injection July 2017""></span></p><p>Similar to Process Injection, this value can be abused to obtain persistence and privilege escalation by causing a malicious DLL to be loaded and run in the context of separate processes on the computer.</p>
                            </div>","Execution Prevention:=Adversaries install new AppCertDLL binaries to execute this technique. Identify and block potentially malicious software executed through AppCertDLLs functionality by using application whitelisting tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate."
T1103,AppInit DLLs,"Persistence, Privilege Escalation",Windows,Administrator,"Administrator, SYSTEM","Loaded DLLs, Process monitoring, Windows Registry",,,,1,"<div class=""col-md-8 description-body"">
                                <p>Dynamic-link libraries (DLLs) that are specified in the AppInit_DLLs value in the Registry keys <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Windows</code> or <code>HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Windows</code> are loaded by user32.dll into every process that loads user32.dll. In practice this is nearly every program, since user32.dll is a very common library. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Endgame Process Injection July 2017""></span> Similar to Process Injection, these values can be abused to obtain persistence and privilege escalation by causing a malicious DLL to be loaded and run in the context of separate processes on the computer. <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""AppInit Registry""></span></p><p>The AppInit DLL functionality is disabled in Windows 8 and later versions when secure boot is enabled. <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""AppInit Secure Boot""></span></p>
                            </div>","Execution Prevention:=Adversaries can install new AppInit_DLLs binaries to execute this technique. Identify and block potentially malicious software executed through AppInit_DLLs functionality by using application whitelisting tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.||Update Software:=Upgrade to Windows 8 or later and enable secure boot."
T1155,AppleScript,"Execution, Lateral Movement",macOS,User,,"API monitoring, System calls, Process monitoring, Process command-line parameters",,,,1,"<div class=""col-md-8 description-body"">
                                <p>macOS and OS X applications send AppleEvent messages to each other for interprocess communications (IPC). These messages can be easily scripted with AppleScript for local or remote IPC. Osascript executes AppleScript and any other Open Scripting Architecture (OSA) language scripts. A list of OSA languages installed on a system can be found by using the <code>osalang</code> program.AppleEvent messages can be sent independently or as part of a script. These events can locate open windows, send keystrokes, and interact with almost any open application locally or remotely. </p><p>Adversaries can use this to interact with open SSH connection, move to remote machines, and even present users with fake dialog boxes. These events cannot start applications remotely (they can start them locally though), but can interact with applications if they're already running remotely. Since this is a scripting language, it can be used to launch more common techniques as well such as a reverse shell via python  <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Macro Malware Targets Macs""></span>. Scripts can be run from the command-line via <code>osascript /path/to/script</code> or <code>osascript -e ""script here""</code>.</p>
                            </div>",Code Signing:=Require that all AppleScript be signed by a trusted developer ID before being executed - this will prevent random AppleScript code from executing. This subjects AppleScript code to the same scrutiny as other .app files passing through Gatekeeper.
T1527,Application Access Token,"Defense Evasion, Lateral Movement","SaaS, Office 365",User,,"OAuth audit logs, Office 365 account logs",,"Mark Wee; Jeff Sakowicz, Microsoft Identity Developer Platform Services (IDPM Services); Saisha Agrawal, Microsoft Threat Intelligent Center (MSTIC); Shailesh Tiwary (Indian Army)",,1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may use application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems. These tokens are typically stolen from users and used in lieu of login credentials.</p><p>Application access tokens are used to make authorized API requests on behalf of a user and are commonly used as a way to access resources in cloud-based applications and software-as-a-service (SaaS).<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Auth0 - Why You Should Always Use Access Tokens to Secure APIs Sept 2019""></span> OAuth is one commonly implemented framework that issues tokens to users for access to systems. These frameworks are used collaboratively to verify the user and determine what actions the user is allowed to perform. Once identity is established, the token allows actions to be authorized, without passing the actual credentials of the user. Therefore, compromise of the token can grant the adversary access to resources of other sites through a malicious application.<span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""okta""></span></p><p>For example, with a cloud-based email service once an OAuth access token is granted to a malicious application, it can potentially gain long-term access to features of the user account if a ""refresh"" token enabling background access is awarded.<span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Microsoft Identity Platform Access 2019""></span> With an OAuth access token an adversary can use the user-granted REST API to perform functions such as email searching and contact enumeration.<span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""Staaldraad Phishing with OAuth 2017""></span></p><p>Compromised access tokens may be used as an initial step in compromising other services. For example, if a token grants access to a victim&#8217;s primary email, the adversary may be able to extend access to all other services which the target subscribes by triggering forgotten password routines. Direct API access through a token negates the effectiveness of a second authentication factor and may be immune to intuitive countermeasures like changing passwords. Access abuse over an API channel can be difficult to detect even from the service provider end, as the access can still align well with a legitimate workflow.</p>
                            </div>","Audit:=Administrators can set up a variety of logs and leverage audit tools to monitor actions that can be conducted as a result of OAuth 2.0 access. For instance, audit reports enable admins to identify privilege escalation actions such as role creations or policy modifications, which could be actions performed after initial access.||Encrypt Sensitive Information:=File encryption should be enforced across email communications containing sensitive information that may be obtained through access to email services.||Restrict Web-Based Content:=Update corporate policies to restrict what types of third-party applications may be added to any online service or tool that is linked to the company's information, accounts or network (example: Google, Microsoft, Dropbox, Basecamp, GitHub). However, rather than providing high-level guidance on this, be extremely specific—include a list of pre-approved applications and deny all others not on the list. Administrators may also block end-user consent through administrative portals, such as the Azure Portal, disabling users from authorizing third-party apps through OAuth and forcing administrative consent."
