rrtype,code
A,1
NS,2
MD,3
MF,4
CNAME,5
SOA,6
MB,7
MG,8
MR,9
NULL,10
WKS,11
PTR,12
HINFO,13
MINFO,14
MX,15
TXT,16
RP,17
AFSDB,18
X25,19
ISDN,20
RT,21
NSAP,22
NSAP-PTR,23
SIG,24
KEY,25
PX,26
GPOS,27
AAAA,28
LOC,29
NXT,30
EID,31
NIMLOC,32
SRV,33
ATMA,34
NAPTR,35
KX,36
CERT,37
A6,38
DNAME,39
SINK,40
OPT,41
APL,42
DS,43
SSHFP,44
IPSECKEY,45
RRSIG,46
NSEC,47
DNSKEY,48
DHCID,49
NSEC3,50
NSEC3PARAM,51
TLSA,52
SMIMEA,53
Unassigned,54
HIP,55
NINFO,56
RKEY,57
TALINK,58
CDS,59
CDNSKEY,60
OPENPGPKEY,61
CSYNC,62
ZONEMD,63
UINFO,99
UID,100
GID,101
UNSPEC,102
NID,103
L32,104
L64,105
LP,106
EUI48,107
EUI64,108
Unassigned,109
TSIG,249
IXFR,250
AXFR,251
MAILB,252
MAILA,253
*,254
URI,255
CAA,256
AVC,257
DOA,258
AMTRELAY,259
Unassigned,260
DLV,32768
Unassigned,32769
