"_raw",host,index,source,sourcetype
"May 17 13:02:46 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4373785536|/ifs/testlabnfs/SQL2008R2Template-CHI/SQL2008R2Template-CHI-000001-delta.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:43 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:42 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|1|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|FILE|OPENED|4358059460|/ifs/testlabnfs/CZMASNAAD02/CZMASNAAD02_1.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|1|FILE|OPENED|4358059460|/ifs/testlabnfs/CZMASNAAD02/CZMASNAAD02_1.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|FILE|OPENED|4358059460|/ifs/testlabnfs/CZMASNAAD02/CZMASNAAD02_1.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|FILE|OPENED|4358002581|/ifs/testlabnfs/CZMASNAAD02/CZMASNAAD02.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|1|FILE|OPENED|4358002581|/ifs/testlabnfs/CZMASNAAD02/CZMASNAAD02.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|FILE|OPENED|4358002581|/ifs/testlabnfs/CZMASNAAD02/CZMASNAAD02.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|32|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|1|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4358059456|/ifs/testlabnfs/CZMASNAAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|FILE|OPENED|4368742255|/ifs/testlabnfs/CZMASFRAD02/CZMASFRAD02_1.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
