"_raw",host,index,source,sourcetype
"2017-07-06T12:08:45-04:00 clust1-1 audit_protocol[4705]: S-1-22-1-1000|1000|System|1|1.2.23.45|NFS|OPEN|SUCCESS|262272|DIR|CREATED|4306613061|/ifs/data/nick2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:08:45-04:00 clust1-1 audit_protocol[4705]: S-1-22-1-1000|1000|System|1|1.2.23.45|NFS|OPEN|SUCCESS|4|DIR|OPENED|4295032834|/ifs/data","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:07:54-04:00 clust1-1 audit_protocol[4705]: S-1-22-1-1000|1000|System|1|1.2.23.45|NFS|OPEN|SUCCESS|1|DIR|OPENED|4295032834|/ifs/data","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:07:54-04:00 clust1-1 audit_protocol[4705]: S-1-22-1-1000|1000|System|1|1.2.23.45|NFS|OPEN|SUCCESS|262272|DIR|CREATED|4310766770|/ifs/data/nick1","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:07:54-04:00 clust1-1 audit_protocol[4705]: S-1-22-1-1000|1000|System|1|1.2.23.45|NFS|OPEN|SUCCESS|4|DIR|OPENED|4295032834|/ifs/data","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:07:54-04:00 clust1-1 audit_protocol[4705]: S-1-22-1-1000|1000|System|1|1.2.23.45|NFS|OPEN|SUCCESS|0|DIR|OPENED|4295032834|/ifs/data","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:07:54-04:00 clust1-1 audit_protocol[4705]: S-1-22-1-1000|1000|System|1|1.2.23.45|NFS|OPEN|SUCCESS|1|DIR|OPENED|2|/ifs/","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:07:52-04:00 clust1-1 audit_protocol[4705]: S-1-22-1-1000|1000|System|1|1.2.23.45|NFS|OPEN|SUCCESS|32|DIR|OPENED|2|/ifs/","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:07:52-04:00 clust1-1 audit_protocol[4705]: S-1-22-1-1000|1000|System|1|1.2.23.45|NFS|OPEN|SUCCESS|0|DIR|OPENED|2|/ifs/","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:07:52-04:00 clust1-1 audit_protocol[4705]: S-1-22-1-1000|1000|System|1|1.2.23.45|NFS|OPEN|SUCCESS|0|DIR|OPENED|2|/ifs/","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:07:52-04:00 clust1-1 audit_protocol[4705]: S-1-5-21-983414385-239897917-1239610015-1001|2000|System|1|1.2.23.45|NFS|OPEN|SUCCESS|0|DIR|OPENED|2|/ifs/","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:07:51-04:00 clust1-1 audit_config[4705]: request: 17; uid: 0; sid: ; remote_addr: ; uri: /3/event/channels/RemoteSupport; method: PUT; args[1/1]: {""enabled"": false}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:07:50-04:00 clust1-1 audit_config[4705]: request: 16; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.23.45; uri: /3/audit/settings; method: PUT; args[1/1]: {""syslog_forwarding_enabled"": true}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:06:50-04:00 clust1-1 audit_config[4705]: request: 15; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.23.45; uri: /3/audit/settings/global; method: PUT; args[1/1]: {""config_syslog_enabled"": true}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:05:32-04:00 clust1-1 audit_config[4705]: request: 14; uid: 0; sid: ; remote_addr: ; uri: /3/event/channels/RemoteSupport; method: PUT; args[1/1]: {""enabled"": false}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:05:31-04:00 clust1-1 audit_config[4705]: request: 13; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.23.45; uri: /3/audit/settings; method: PUT; args[1/1]: {""audit_success"": [""create"", ""close"", ""delete""]}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T12:00:23-04:00 clust1-1 audit_config[4705]: request: 12; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.157.70; uri: /3/iiq/instances/1.2.157.70; method: PUT; args[1/1]: {""monitoring_state"": ""active"", ""dns_name"": ""1.2.157.70"", ""version"": ""1.2.1.3"", ""node_ip"": ""1.2.157.74""}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T11:50:23-04:00 clust1-1 audit_config[4705]: request: 11; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.157.70; uri: /3/iiq/instances/1.2.157.70; method: PUT; args[1/1]: {""monitoring_state"": ""active"", ""dns_name"": ""1.2.157.70"", ""version"": ""1.2.1.3"", ""node_ip"": ""1.2.157.74""}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T11:40:23-04:00 clust1-1 audit_config[4705]: request: 10; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.157.70; uri: /3/iiq/instances/1.2.157.70; method: PUT; args[1/1]: {""monitoring_state"": ""active"", ""dns_name"": ""1.2.157.70"", ""version"": ""1.2.1.3"", ""node_ip"": ""1.2.157.74""}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T11:30:23-04:00 clust1-1 audit_config[4705]: request: 9; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.157.70; uri: /3/iiq/instances/1.2.157.70; method: PUT; args[1/1]: {""monitoring_state"": ""active"", ""dns_name"": ""1.2.157.70"", ""version"": ""1.2.1.3"", ""node_ip"": ""1.2.157.74""}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
