"_raw",host,index,source,sourcetype,time
"{""node"": ""1.2.246.130"", ""timestamp"": ""2016-07-21 12:58:41"", ""zones"": {""name"": ""BDEHDP01"", ""alternate_system_provider"": ""lsa-file-provider:MinimumRequired"", ""hdfs_ambari_namenode"": ""bdehdp01nn.mars.asc"", ""audit_success"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""auth_providers"": [""lsa-activedirectory-provider:MARS.ASC"", ""lsa-local-provider:BDEHDP01""], ""all_auth_providers"": false, ""user_mapping_rules"": [""hdfs=>root""], ""hdfs_authentication"": ""all"", ""home_directory_umask"": 63, ""protocol_audit_enabled"": false, ""path"": ""/ifs/BDEHDP01"", ""netbios_name"": """", ""webhdfs_enabled"": true, ""zone_id"": 11, ""syslog_forwarding_enabled"": false, ""ifs_restricted"": [], ""map_untrusted"": """", ""hdfs_keytab"": ""/etc/hdfs.keytab"", ""syslog_audit_events"": [""create"", ""delete"", ""rename"", ""set_security""], ""system"": false, ""system_provider"": ""lsa-file-provider:System"", ""skeleton_directory"": ""/usr/share/skel"", ""audit_failure"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""cache_size"": 10000000, ""id"": ""BDEHDP01"", ""hdfs_ambari_server"": ""ambari17.asc.emc"", ""hdfs_root_directory"": ""/ifs/BDEHDP01/hadoop""}, ""namespace"": ""zones""}","splunk-test03",isilon,"isilon://1.2.246.130::/platform/1/zones","emc:isilon:rest","21-07-2016 12:58:41"
"{""node"": ""1.2.246.130"", ""timestamp"": ""2016-07-21 12:58:41"", ""zones"": {""name"": ""BDEPHD01"", ""alternate_system_provider"": ""lsa-file-provider:MinimumRequired"", ""hdfs_ambari_namenode"": """", ""audit_success"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""auth_providers"": [""lsa-activedirectory-provider:MARS.ASC"", ""lsa-local-provider:BDEPHD01""], ""all_auth_providers"": false, ""user_mapping_rules"": [""hdfs=>root""], ""hdfs_authentication"": ""all"", ""home_directory_umask"": 63, ""protocol_audit_enabled"": false, ""path"": ""/ifs/BDEPHD01"", ""netbios_name"": """", ""webhdfs_enabled"": true, ""zone_id"": 10, ""syslog_forwarding_enabled"": false, ""ifs_restricted"": [], ""map_untrusted"": """", ""hdfs_keytab"": ""/etc/hdfs.keytab"", ""syslog_audit_events"": [""create"", ""delete"", ""rename"", ""set_security""], ""system"": false, ""system_provider"": ""lsa-file-provider:System"", ""skeleton_directory"": ""/usr/share/skel"", ""audit_failure"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""cache_size"": 10000000, ""id"": ""BDEPHD01"", ""hdfs_ambari_server"": """", ""hdfs_root_directory"": ""/ifs/BDEPHD01/hadoop""}, ""namespace"": ""zones""}","splunk-test03",isilon,"isilon://1.2.246.130::/platform/1/zones","emc:isilon:rest","21-07-2016 12:58:41"
"{""node"": ""1.2.246.130"", ""timestamp"": ""2016-07-21 12:58:41"", ""zones"": {""name"": ""VCE"", ""alternate_system_provider"": ""lsa-file-provider:MinimumRequired"", ""hdfs_ambari_namenode"": """", ""audit_success"": [""close"", ""create"", ""delete"", ""get_security"", ""logoff"", ""logon"", ""read"", ""rename"", ""set_security"", ""tree_connect"", ""write""], ""auth_providers"": [""lsa-activedirectory-provider:VCE.ASC"", ""lsa-local-provider:System""], ""all_auth_providers"": false, ""user_mapping_rules"": [], ""hdfs_authentication"": ""all"", ""home_directory_umask"": 63, ""protocol_audit_enabled"": false, ""path"": ""/ifs/VCE"", ""netbios_name"": """", ""webhdfs_enabled"": true, ""zone_id"": 6, ""syslog_forwarding_enabled"": true, ""ifs_restricted"": [], ""map_untrusted"": """", ""hdfs_keytab"": ""/etc/hdfs.keytab"", ""syslog_audit_events"": [""create"", ""delete"", ""rename"", ""set_security""], ""system"": false, ""system_provider"": ""lsa-file-provider:System"", ""skeleton_directory"": ""/usr/share/skel"", ""audit_failure"": [""close"", ""create"", ""delete"", ""get_security"", ""logoff"", ""logon"", ""read"", ""rename"", ""set_security"", ""tree_connect"", ""write""], ""cache_size"": 10000000, ""id"": ""VCE"", ""hdfs_ambari_server"": """", ""hdfs_root_directory"": ""/ifs/VCE""}, ""namespace"": ""zones""}","splunk-test03",isilon,"isilon://1.2.246.130::/platform/1/zones","emc:isilon:rest","21-07-2016 12:58:41"
"{""node"": ""1.2.246.130"", ""timestamp"": ""2016-07-21 12:58:41"", ""zones"": {""name"": ""ASC"", ""alternate_system_provider"": ""lsa-file-provider:MinimumRequired"", ""hdfs_ambari_namenode"": """", ""audit_success"": [""close"", ""create"", ""delete"", ""get_security"", ""logoff"", ""logon"", ""read"", ""rename"", ""set_security"", ""tree_connect"", ""write""], ""auth_providers"": [""lsa-activedirectory-provider:MARS.ASC"", ""lsa-ldap-provider:ASCLDAP""], ""all_auth_providers"": false, ""user_mapping_rules"": [""hdfs=>root""], ""hdfs_authentication"": ""all"", ""home_directory_umask"": 63, ""protocol_audit_enabled"": true, ""path"": ""/ifs/ASC"", ""netbios_name"": """", ""webhdfs_enabled"": true, ""zone_id"": 5, ""syslog_forwarding_enabled"": true, ""ifs_restricted"": [], ""map_untrusted"": """", ""hdfs_keytab"": ""/etc/hdfs.keytab"", ""syslog_audit_events"": [""close"", ""create"", ""delete"", ""get_security"", ""logoff"", ""logon"", ""read"", ""rename"", ""set_security"", ""tree_connect"", ""write""], ""system"": false, ""system_provider"": ""lsa-file-provider:System"", ""skeleton_directory"": ""/usr/share/skel"", ""audit_failure"": [""close"", ""create"", ""delete"", ""get_security"", ""logoff"", ""logon"", ""read"", ""rename"", ""set_security"", ""tree_connect"", ""write""], ""cache_size"": 10000000, ""id"": ""ASC"", ""hdfs_ambari_server"": """", ""hdfs_root_directory"": ""/ifs/ASC/hadoop""}, ""namespace"": ""zones""}","splunk-test03",isilon,"isilon://1.2.246.130::/platform/1/zones","emc:isilon:rest","21-07-2016 12:58:41"
"{""node"": ""1.2.246.130"", ""timestamp"": ""2016-07-21 12:58:41"", ""zones"": {""name"": ""System"", ""alternate_system_provider"": ""lsa-file-provider:System"", ""hdfs_ambari_namenode"": """", ""audit_success"": [""close"", ""create"", ""delete"", ""get_security"", ""logoff"", ""logon"", ""read"", ""rename"", ""set_security"", ""tree_connect"", ""write""], ""auth_providers"": [""lsa-local-provider:System"", ""lsa-activedirectory-provider:ASC.EMC""], ""all_auth_providers"": false, ""user_mapping_rules"": [], ""hdfs_authentication"": ""all"", ""home_directory_umask"": 63, ""protocol_audit_enabled"": false, ""path"": ""/ifs"", ""netbios_name"": """", ""webhdfs_enabled"": true, ""zone_id"": 1, ""syslog_forwarding_enabled"": false, ""ifs_restricted"": [], ""map_untrusted"": """", ""hdfs_keytab"": ""/etc/hdfs.keytab"", ""syslog_audit_events"": [""create"", ""delete"", ""rename"", ""set_security""], ""system"": true, ""system_provider"": ""lsa-file-provider:System"", ""skeleton_directory"": ""/usr/share/skel"", ""audit_failure"": [""close"", ""create"", ""delete"", ""get_security"", ""logoff"", ""logon"", ""read"", ""rename"", ""set_security"", ""tree_connect"", ""write""], ""cache_size"": 10000000, ""id"": ""System"", ""hdfs_ambari_server"": """", ""hdfs_root_directory"": ""/ifs/hadoop""}, ""namespace"": ""zones""}","splunk-test03",isilon,"isilon://1.2.246.130::/platform/1/zones","emc:isilon:rest","21-07-2016 12:58:41"
"{""zones"": {""zone_id"": 9, ""hdfs_ambari_namenode"": """", ""default_checksum_type"": ""none"", ""syslog_audit_events"": [""create"", ""delete"", ""rename"", ""set_security""], ""alternate_system_provider"": ""lsa-file-provider:MinimumRequired"", ""odp_version"": """", ""user_mapping_rules"": [], ""audit_failure"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""system"": false, ""hdfs_enabled"": true, ""system_provider"": ""lsa-file-provider:System"", ""hdfs_root_directory"": ""/ifs/data/sp_customer1"", ""hdfs_ambari_server"": """", ""hdfs_keytab"": ""/etc/hdfs.keytab"", ""webhdfs_enabled"": true, ""path"": ""/ifs/data/sp_customer1"", ""protocol_audit_enabled"": false, ""default_block_size"": 27, ""map_untrusted"": """", ""auth_providers"": [""lsa-local-provider:L7"", ""lsa-activedirectory-provider:L7.LOCAL""], ""name"": ""L7"", ""ifs_restricted"": [], ""hdfs_authentication"": ""all"", ""all_auth_providers"": false, ""skeleton_directory"": ""/usr/share/skel"", ""home_directory_umask"": 63, ""id"": ""L7"", ""audit_success"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""syslog_forwarding_enabled"": false, ""netbios_name"": """"}, ""timestamp"": ""2016-07-21 12:58:42"", ""node"": ""1.2.247.40"", ""namespace"": ""zones""}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/zones","emc:isilon:rest","21-07-2016 12:58:42"
"{""zones"": {""zone_id"": 7, ""hdfs_ambari_namenode"": """", ""default_checksum_type"": ""none"", ""syslog_audit_events"": [""create"", ""delete"", ""rename"", ""set_security""], ""alternate_system_provider"": ""lsa-file-provider:MinimumRequired"", ""odp_version"": """", ""user_mapping_rules"": [], ""audit_failure"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""system"": false, ""hdfs_enabled"": true, ""system_provider"": ""lsa-file-provider:System"", ""hdfs_root_directory"": ""/ifs/data/sp_customer2"", ""hdfs_ambari_server"": """", ""hdfs_keytab"": ""/etc/hdfs.keytab"", ""webhdfs_enabled"": true, ""path"": ""/ifs/data/sp_customer2"", ""protocol_audit_enabled"": false, ""default_block_size"": 27, ""map_untrusted"": """", ""auth_providers"": [""lsa-local-provider:SPC2""], ""name"": ""SPC2"", ""ifs_restricted"": [], ""hdfs_authentication"": ""all"", ""all_auth_providers"": false, ""skeleton_directory"": ""/usr/share/skel"", ""home_directory_umask"": 63, ""id"": ""SPC2"", ""audit_success"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""syslog_forwarding_enabled"": false, ""netbios_name"": """"}, ""timestamp"": ""2016-07-21 12:58:42"", ""node"": ""1.2.247.40"", ""namespace"": ""zones""}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/zones","emc:isilon:rest","21-07-2016 12:58:42"
"{""zones"": {""zone_id"": 5, ""hdfs_ambari_namenode"": ""nn.01.isisydbd.mars.asc"", ""default_checksum_type"": ""none"", ""syslog_audit_events"": [""create"", ""delete"", ""rename"", ""set_security""], ""alternate_system_provider"": ""lsa-file-provider:MinimumRequired"", ""odp_version"": ""2.2.4"", ""user_mapping_rules"": [""hdfs=>root""], ""audit_failure"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""system"": false, ""hdfs_enabled"": true, ""system_provider"": ""lsa-file-provider:System"", ""hdfs_root_directory"": ""/ifs/data/isisydbd01/hadoop"", ""hdfs_ambari_server"": ""hdp01.asc.emc"", ""hdfs_keytab"": ""/etc/hdfs.keytab"", ""webhdfs_enabled"": true, ""path"": ""/ifs/data/isisydbd01"", ""protocol_audit_enabled"": false, ""default_block_size"": 27, ""map_untrusted"": """", ""auth_providers"": [""lsa-local-provider:isisydbd01""], ""name"": ""isisydbd01"", ""ifs_restricted"": [], ""hdfs_authentication"": ""all"", ""all_auth_providers"": false, ""skeleton_directory"": ""/usr/share/skel"", ""home_directory_umask"": 63, ""id"": ""isisydbd01"", ""audit_success"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""syslog_forwarding_enabled"": false, ""netbios_name"": """"}, ""timestamp"": ""2016-07-21 12:58:42"", ""node"": ""1.2.247.40"", ""namespace"": ""zones""}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/zones","emc:isilon:rest","21-07-2016 12:58:42"
"{""zones"": {""zone_id"": 3, ""hdfs_ambari_namenode"": """", ""default_checksum_type"": ""none"", ""syslog_audit_events"": [""create"", ""delete"", ""rename"", ""set_security""], ""alternate_system_provider"": ""lsa-file-provider:MinimumRequired"", ""odp_version"": """", ""user_mapping_rules"": [], ""audit_failure"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""system"": false, ""hdfs_enabled"": true, ""system_provider"": ""lsa-file-provider:System"", ""hdfs_root_directory"": ""/ifs/data/ASC"", ""hdfs_ambari_server"": """", ""hdfs_keytab"": ""/etc/hdfs.keytab"", ""webhdfs_enabled"": true, ""path"": ""/ifs/data/ASC"", ""protocol_audit_enabled"": false, ""default_block_size"": 27, ""map_untrusted"": """", ""auth_providers"": [""lsa-activedirectory-provider:ASC.EMC"", ""lsa-local-provider:isisyddata""], ""name"": ""isisyddata"", ""ifs_restricted"": [], ""hdfs_authentication"": ""all"", ""all_auth_providers"": false, ""skeleton_directory"": ""/usr/share/skel"", ""home_directory_umask"": 63, ""id"": ""isisyddata"", ""audit_success"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""syslog_forwarding_enabled"": false, ""netbios_name"": """"}, ""timestamp"": ""2016-07-21 12:58:42"", ""node"": ""1.2.247.40"", ""namespace"": ""zones""}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/zones","emc:isilon:rest","21-07-2016 12:58:42"
"{""zones"": {""zone_id"": 1, ""hdfs_ambari_namenode"": """", ""default_checksum_type"": ""none"", ""syslog_audit_events"": [""create"", ""delete"", ""rename"", ""set_security""], ""alternate_system_provider"": ""lsa-file-provider:System"", ""odp_version"": """", ""user_mapping_rules"": [], ""audit_failure"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""system"": true, ""hdfs_enabled"": true, ""system_provider"": ""lsa-file-provider:System"", ""hdfs_root_directory"": ""/ifs"", ""hdfs_ambari_server"": """", ""hdfs_keytab"": ""/etc/hdfs.keytab"", ""webhdfs_enabled"": true, ""path"": ""/ifs"", ""protocol_audit_enabled"": false, ""default_block_size"": 27, ""map_untrusted"": """", ""auth_providers"": [""lsa-activedirectory-provider:MARS.ASC"", ""lsa-file-provider:System"", ""lsa-local-provider:System""], ""name"": ""System"", ""ifs_restricted"": [], ""hdfs_authentication"": ""all"", ""all_auth_providers"": false, ""skeleton_directory"": ""/usr/share/skel"", ""home_directory_umask"": 63, ""id"": ""System"", ""audit_success"": [""create"", ""delete"", ""rename"", ""set_security"", ""close""], ""syslog_forwarding_enabled"": false, ""netbios_name"": """"}, ""timestamp"": ""2016-07-21 12:58:42"", ""node"": ""1.2.247.40"", ""namespace"": ""zones""}","splunk-test03",isilon,"isilon://1.2.247.40::/platform/1/zones","emc:isilon:rest","21-07-2016 12:58:42"
