verizon
talktalk
hinet
shaw
videotron
comcast
roadrunner
chinanet
qwest
timewarner
cablevision
cox
att
wind
chinamobile
fastweb
francetelecom
telstra
charter
bskyb
ti
mediacom
free
vodafone
uninet
sprint
bt
frontier
softbank
dtag
brighthouse
tmnet
telefonica
virginmedia
sfr
altitudetelecom
numericable
colt
tmobile
earthlink
chinaunicom
suddenlink
koreatelecom
upc
clearwire
windstream
plusnet
telus
ocn
etisalat
bellcanada
tiscali
rogers
so-net
embarq
rcn
tim
fibertel
cableone
jazztel
dti
eitc
h3g
completel
bouygues
turktelekom
mil
teksaavy
cogeco
cernet
microsoft
biglobe
janet
uni2
asahi
easynet
bellaliant
reserved
dion
nerim
aol
mci
sasktel
odn
iij4u
infosphere
wakwak
ibm
uunet
rediris
seednet
roadrunner
chinanet
renater
