PowerShell%20Script
Mozilla%2f5.0%20(compatible%3b%20MSIE%209.0%3b%20Windows%20NT%206.1%3b%20WOW64%3b%20Trident%2f5.0)
Mozilla%2f5.0%20(Windows%20NT%206.1%3b%20WOW64)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f40.0.2214.115%20Safari%2f537.36
POS%2f1512%20CFNetwork%2f672.1.15%20Darwin%2f14.0.0
Opera%2f9.80%20(Windows%20NT%206.1%3b%20U%3b%20en)%20Presto%2f2.2.15%20Version%2f10.10
Mozilla%2f5.0%20(iPhone%3b%20CPU%20iPhone%20OS%208_1_2%20like%20Mac%20OS%20X)%20AppleWebKit%2f600.1.4%20(KHTML,%20like%20Gecko)%20CriOS%2f40.0.2214.73%20Mobile%2f12B440%20Safari%2f600.1.4
Mozilla%2f5.0%20(Windows%20NT%206.3%3b%20WOW64)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f40.0.2214.115%20Safari%2f537.36
Mozilla%2f5.0%20(Windows%3b%20U%3bXMPP%20Tiscali%20Communicator%20v.10.0.1%3b%20Windows%20NT%205.1%3b%20it%3b%20rv%3a1.8.1.3)%20Gecko%2f20070309%20Firefox%2f2.0.0.3
Mozilla%2f5.0%20(Windows%20NT%206.1%3b%20rv%3a35.0)%20Gecko%2f20100101%20Firefox%2f35.0
Mozilla%2f5.0%20(Windows%20NT%206.1)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f38.0.2125.122%20Safari%2f537.36
Mozilla%2f5.0%20(Windows%20NT%206.1%3b%20rv%3a31.0)%20Gecko%2f20100101%20Firefox%2f31.0
Mozilla%2f5.0%20(Windows%20NT%206.1%3b%20WOW64%3b%20Trident%2f7.0%3b%20rv%3a11.0)%20like%20Gecko
Mozilla%2f5.0%20(Linux%3b%20Android%204.4.2%3b%20HTC%20One%20Build%2fKOT49H)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f34.0.1847.114%20Mobile%20Safari%2f537.36
Mozilla%2f5.0%20(Macintosh%3b%20Intel%20Mac%20OS%20X%2010.10%3b%20rv%3a35.0)%20Gecko%2f20100101%20Firefox%2f35.0
Mozilla%2f5.0%20(Windows%20NT%206.0%3b%20WOW64%3b%20rv%3a35.0)%20Gecko%2f20100101%20Firefox%2f35.0
Mozilla%2f5.0%20(Windows%20Phone%208.1%3b%20ARM%3b%20Trident%2f7.0%3b%20Touch%3b%20rv%3a11.0%3b%20IEMobile%2f11.0%3b%20NOKIA%3b%20Lumia%20635)%20like%20Gecko
Mozilla%2f5.0%20(Macintosh%3b%20Intel%20Mac%20OS%20X%2010_9_5)%20AppleWebKit%2f537.36%20(KHTML,%20like%20Gecko)%20Chrome%2f40.0.2214.111%20Safari%2f537.36
Mozilla%2f5.0%20(Windows%20NT%206.1%3b%20Trident%2f7.0%3b%20rv%3a11.0)%20like%20Gecko
Mozilla%2f5.0%20(Windows%20NT%205.1%3b%20rv%3a11.0)%20Gecko%20Firefox%2f11.0%20(via%20ggpht.com%20GoogleImageProxy)
Mozilla%2f5.0%20(X11%3b%20U%3b%20Linux%3b%20i686%3b%20en-US%3b%20rv%3a1.6)%20Gecko%20Galeon%2f1.3.14
Rackspace%20Monitoring%2f1.1%20(https%3a%2f%2fmonitoring.api.rackspacecloud.com)
