text/html
text/plain
text/richtext
text/css
image/g3fax
image/gif
image/ief
image/jpeg
image/tiff
image/png
video/mpeg
video/3gpp
text/css
audio/basic
audio/mp4
application/x-javascript
application/octet-stream
application/xml
application/zip
image/svg+xml
audio/mpeg
audio/vorbis
application/pdf
application/x-shockwave-flash
application/javascript
application/json
video/mp4
video/ogg
video/webm
audio/ogg
audio/webm
application/x-font-woff
image/webp
application/x-font-ttf
application/vnd.ms-fontobject
application/atom+xml
application/rss+xml
image/bmp
image/x-icon
application/x-director

