search,chart,weight,if_field1_high_dc,if_field1_medium_dc,if_field1_low_dc,if_field1_dc_is_one,if_field1_numeric,if_field1_categorical,if_field2_low_dc,if_field2_medium_dc,if_field2_high_dc,if_field2_numeric,if_field2_categorical,suppress_xaxis,description,secondary
chart count over FIELD1 by FIELD2,bar,9,0,0,10,0,0,1,10,5,0,0,1,0,"FIELD1 values and counts, split by FIELD2","for each value of FIELD2, show top FIELD1"
chart count over FIELD1 by FIELD2,column,9,0,0,9,0,0,1,10,8,0,0,1,0,"FIELD1 values and counts, split by FIELD2","for each value of FIELD2, show top FIELD1"
chart count over FIELD1 by FIELD2 | addtotals | sort 0 - Total,table,5,8,5,2,0,0,1,10,8,0,0,1,0,"FIELD1 values and counts, split by FIELD2","for each value of FIELD2, show top FIELD1"
timechart bins=200 count by FIELD1,column,9,3,8,10,0,0,1,0,0,0,0,0,1,FIELD1 values over time,
timechart bins=200 sum(FIELD1) by FIELD2,column,9,10,10,10,0,1,0,10,7,1,0,1,1,"sum of FIELD1 over time, split by FIELD2","for each value of FIELD2, show min,max,avg FIELD2"
timechart dc(FIELD1),line,5,10,3,3,0,0,1,0,0,0,0,0,1,number of distinct values of FIELD1 over time,"top FIELD1,  (breadth of occurrences for each value of FIELD1?)"
top limit=100 FIELD1 | fields - percent,pie,5,8,8,10,0,0,1,0,0,0,0,0,0,top values of FIELD1,
search FIELD1=* | timechart count by FIELD1 bins=30,column,9,10,10,2,0,1,0,0,0,0,0,0,1,Bucketed distribution of FIELD1 over time,
bin FIELD1 bins=30 | chart count over FIELD1 by FIELD2,column,8,10,10,2,0,1,0,8,2,0,0,1,0,"Frequency distribution of FIELD1, further split by FIELD2",
bin FIELD1 bins=30 | chart count over FIELD1,column,8,10,10,2,0,1,0,0,0,0,0,0,0,Frequency distribution of FIELD1,
chart dc(FIELD1) over date_hour,column,5,10,3,3,0,0,1,0,0,0,0,0,0,count of distinct FIELD1 seen in each hour of the day,
chart sum(FIELD1) over date_hour by date_wday,line,6,10,3,3,0,1,0,0,0,0,0,0,0,"total FIELD1 for each hour of the day, split by day of week",
chart dc(FIELD1) over date_hour by date_wday,line,6,10,3,3,0,0,1,0,0,0,0,0,0,"count of distinct values for FIELD1 seen in each hour of the day, split by day of week",
timechart bins=200 avg(FIELD1),line,8,6,6,4,0,1,0,0,0,0,0,0,1,average of FIELD1 over time,
timechart bins=200 min(FIELD1) avg(FIELD1) max(FIELD1),line,7,5,5,5,0,1,0,0,0,0,0,0,1,"min, average and max of FIELD1 over time",
timechart bins=200 sum(FIELD1),column,8,5,5,5,0,1,0,0,0,0,0,0,1,total FIELD1 over time,
timechart bins=200 avg(FIELD1) by FIELD2,line,8,6,6,4,0,1,0,5,8,1,0,1,1,"average of FIELD1 over time, split by FIELD2",
timechart bins=200 dc(FIELD1) dc(FIELD2),line,3,6,6,1,0,0,1,2,2,8,0,1,1,number of distinct values of FIELD1 vs FIELD2 over time,
timechart bins=200 dc(FIELD1) by FIELD2,line,9,10,8,1,0,0,1,10,8,0,0,1,1,"number of distinct values of FIELD1 over time, split by FIELD2",
stats count by FIELD1 FIELD2 | sort - count,table,4,4,8,4,0,0,1,5,5,5,0,1,0,Top combinations of FIELD1 and FIELD2,
ctable FIELD1 FIELD2,table,4,4,8,8,0,0,0,8,3,0,0,1,0,number of events for each combination of FIELD1 and FIELD2,
search FIELD1=* | chart avg(FIELD1) over FIELD2,column,4,5,5,5,0,1,0,7,8,1,0,1,0,average of FIELD1 for each value of FIELD2,
chart dc(FIELD1) over date_hour by FIELD2,line,4,6,6,2,0,0,1,9,5,0,0,1,0,"number of distinct values of FIELD1 for each hour of the day, split by FIELD2",
fillnull FIELD1 value=(null) | stats count by FIELD1 | sort - count,table,5,0,0,0,10,1,1,0,0,0,0,0,0,one value to rule them all,
timechart count by FIELD1,column,4,0,0,0,10,1,1,0,0,0,0,0,0,timechart to look for null values,
