reply_code_id,reply_code,response_message
0,NOERROR,DNS query completed successfully
1,FORMERR,DNS query format error
2,SERVFAIL,Server failed to complete the DNS request
3,NXDOMAIN,Domain name does not exit
4,NOTIMP,Function not implemented
5,REFUSED,Server refused to answer for the query
6,YXDOMAIN,Name that should not exist does exist
7,XRRSET,RRset that should not exist does exist
8,NOTAUTH,Server not authoritative for the zone
9,NOTZONE,Name not in zone
