ssl_cipher,ssl_cipher_hex,ssl_cipher_name,ssl_cipher_protocol,ssl_cipher_kx,ssl_cipher_au,ssl_cipher_eu,ssl_cipher_bits,ssl_cipher_mac
0,0x000000,TLS_NULL_WITH_NULL_NULL,TLS,NULL,NULL,NULL,0,NULL
1,0x000001,TLS_RSA_WITH_NULL_MD5,TLS,RSA,RSA,NULL,0,MD5
2,0x000002,TLS_RSA_WITH_NULL_SHA,TLS,RSA,RSA,NULL,0,SHA
3,0x000003,TLS_RSA_EXPORT_WITH_RC4_40_MD5,TLS,RSA_EXPORT,RSA_EXPORT,RC4_40,40,MD5
4,0x000004,TLS_RSA_WITH_RC4_128_MD5,TLS,RSA,RSA,RC4_128,128,MD5
5,0x000005,TLS_RSA_WITH_RC4_128_SHA,TLS,RSA,RSA,RC4_128,128,SHA
6,0x000006,TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5,TLS,RSA_EXPORT,RSA_EXPORT,RC2_CBC_40,40,MD5
7,0x000007,TLS_RSA_WITH_IDEA_CBC_SHA,TLS,RSA,RSA,IDEA_CBC,128,SHA
8,0x000008,TLS_RSA_EXPORT_WITH_DES40_CBC_SHA,TLS,RSA_EXPORT,RSA_EXPORT,DES40_CBC,40,SHA
9,0x000009,TLS_RSA_WITH_DES_CBC_SHA,TLS,RSA,RSA,DES_CBC,56,SHA
10,0x00000A,TLS_RSA_WITH_3DES_EDE_CBC_SHA,TLS,RSA,RSA,3DES_EDE_CBC,168,SHA
11,0x00000B,TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA,TLS,DH,DSS,DES40_CBC,40,SHA
12,0x00000C,TLS_DH_DSS_WITH_DES_CBC_SHA,TLS,DH,DSS,DES_CBC,56,SHA
13,0x00000D,TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA,TLS,DH,DSS,3DES_EDE_CBC,168,SHA
14,0x00000E,TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA,TLS,DH,RSA,DES40_CBC,40,SHA
15,0x00000F,TLS_DH_RSA_WITH_DES_CBC_SHA,TLS,DH,RSA,DES_CBC,56,SHA
16,0x000010,TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA,TLS,DH,RSA,3DES_EDE_CBC,168,SHA
17,0x000011,TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA,TLS,DHE,DSS,DES40_CBC,40,SHA
18,0x000012,TLS_DHE_DSS_WITH_DES_CBC_SHA,TLS,DHE,DSS,DES_CBC,56,SHA
19,0x000013,TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA,TLS,DHE,DSS,3DES_EDE_CBC,168,SHA
20,0x000014,TLS_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA,TLS,DHE,RSA,DES40_CBC,40,SHA
21,0x000015,TLS_DHE_RSA_WITH_DES_CBC_SHA,TLS,DHE,RSA,DES_CBC,56,SHA
