app_id,app_desc
ap,API server
cp,"SMA distributed cache client: policy server,  client credential storage"
dc,"SMA distributed cache server: policy server, client credential storage"
ev,network tunnel service - kernel component
ew,Web proxy service
fm,failover monitor
kp,network tunnel kernel mode policy server interface
ks,network tunnel kernel mode interface to SSL daemon
kt,kernel tunnel component
ls,log server
ps,policy service
pt,ping/traceroute tools
uk,unknown
up,network tunnel policy server daemon
us,network tunnel user space SSL daemon
