app_source,dashboards,data_source,data_description,sourcetype
Audit Logs,Audit Logs,Guide,,ezproxy:audit
Logs,Standard EZProxy Logs,Guide,,ezproxy:urls
Messages,Messages Log,Guide,,ezproxy:messages
SPU Logs,SPU Log, Guide,,ezproxy:spu
