status,status_description,status_type
100,Continue,Informational
101,Switching Protocols,Informational
200,OK,Successful
201,Created,Successful
202,Accepted,Successful
203,Non-Authoritative Information,Successful
204,No Content,Successful
205,Reset Content,Successful
206,Partial Content,Successful
300,Multiple Choices,Redirection
301,Moved Permanently,Redirection
302,Found,Redirection
303,See Other,Redirection
304,Not Modified,Redirection
305,Use Proxy,Redirection
307,Temporary Redirect,Redirection
400,Bad Request,Client Error
401,Unauthorized,Client Error
402,Payment Required,Client Error
403,Forbidden,Client Error
404,Not Found,Client Error
405,Method Not Allowed,Client Error
406,Not Acceptable,Client Error
407,Proxy Authentication Required,Client Error
408,Request Timeout,Client Error
409,Conflict,Client Error
410,Gone,Client Error
411,Length Required,Client Error
412,Precondition Failed,Client Error
413,Request Entity Too Large,Client Error
414,Request-URI Too Long,Client Error
415,Unsupported Media Type,Client Error
416,Requested Range Not Satisfiable,Client Error
417,Expectation Failed,Client Error
500,Internal Server Error,Server Error
501,Not Implemented,Server Error
502,Bad Gateway,Server Error
503,Service Unavailable,Server Error
504,Gateway Timeout,Server Error
505,HTTP Version Not Supported,Server Error
597,Recorded on access attempts after the IntruderReject threshold has been exceeded,Unauthorized Access - Intruder Reject
598,Attempt made to access an unauthorized EZproxy administration function,Unauthorized Access - Admin
599,Starting point URL referenced a host that EZproxy is not configured to proxy,Config Error
900,Error occurred receiving the request from the remote user's browser,Client Error
901,Error occurred receiving the request from the remote user's browser,Client Error
902,Error occurred receiving the request from the remote user's browser,Client Error
903,Error occurred receiving the request from the remote user's browser,Client Error
904,Error occurred receiving the request from the remote user's browser,Client Error
905,Error occurred receiving the request from the remote user's browser,Client Error
907,Error occurred receiving the request from the remote user's browser,Client Error
906,Error occurred forwarding the request from the user's browser to the remote server,Remote Server Error
950,Error occurred interpreting an administration request from the remote user,Remote Server Error
997,Shibboleth login failure due to metadata misconfiguration (recorded as 999 in early beta releases of Shibboleth support),Shibboleth Error
998,Access denied based on a DenyIfRequestHeader directive in config.txt,Unauthorized Access - Header
999,Access attempted from an IP address that is in a RejectIP address range,Unauthorized Access - IP
