metric,description
first_request_dns_time_ms,DNS time
first_request_connect_time_ms,Connect time
first_request_ssl_time_ms,SSL time
first_request_send_time_ms,Send time
first_request_wait_time_ms,Wait time
first_request_receive_time_ms,Receive time
first_byte_time_ms,Byte time
first_paint_time_ms,Paint time
first_contentful_paint_time_ms,Content paint time
dom_interactive_time_ms,Dom Interactive time
start_render_ms,Start render
first_meaningful_paint_time_ms,Meaningful paint time
dom_load_time_ms,Dom load time
dom_complete_time_ms,Dom complete time
first_cpu_idle_time_ms,CPU idle time
first_interactive_time_ms,Interactive time
onload_time_ms,Onload time
visually_complete_ms,Visually complete
speed_index,Speed index
fully_loaded_time_ms,Fully loaded
lighthouse_performance_score,Lighthouse score
requests,Requests
content_bytes,Content bytes
html_files,HTML files
html_bytes,HTML bytes
image_files,Image files
image_bytes,Image bytes
javascript_files,Javascript files
javascript_bytes,Javascript bytes
css_files,CSS files
css_bytes,CSS bytes
video_files,Video files
video_bytes,Video bytes
font_files,Font files
font_bytes,Font bytes
other_files,Other files
other_bytes,Other bytes
client_errors,Client errors
connection_errors,Connection errors
server_errors,Server errors
errors,Errors
availability,Availability
largest_contentful_paint_time_ms,Largest paint time
total_blocking_time_ms,Total blocking time
cumulative_layout_shift,Cumulative layout
downtime,Downtime
run_count,Run count
success_count,Success count
failure_count,Failure count
